"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
6.560584950E-1,5.834050254E-1,1.963620931E-1,1.212288216E-1,7.787066698E-1,1.086192158E2,2.506732858E1,-9.460402376E0,1.042113810E2
6.727244320E-1,5.819629137E-1,1.944606900E-1,1.214029640E-1,7.802342772E-1,1.088225554E2,2.492043241E1,-9.331465023E0,1.044965055E2
6.893903700E-1,5.806387702E-1,1.936560422E-1,1.215332448E-1,7.813997865E-1,1.090090342E2,2.485600686E1,-9.294654633E0,1.047171437E2
7.060563070E-1,5.795335589E-1,1.938127279E-1,1.212067083E-1,7.822316885E-1,1.091645153E2,2.482585263E1,-9.365170474E0,1.048669183E2
7.227222450E-1,5.784641454E-1,1.947464198E-1,1.201986149E-1,7.829465866E-1,1.093148177E2,2.479268031E1,-9.548993211E0,1.049803469E2
7.393881820E-1,5.772336045E-1,1.958120763E-1,1.185863689E-1,7.838343382E-1,1.094875932E2,2.471169764E1,-9.791562512E0,1.051125426E2
7.560541200E-1,5.757254512E-1,1.961789280E-1,1.168306470E-1,7.851144075E-1,1.096990963E2,2.456003901E1,-9.992603943E0,1.053143514E2
7.727200570E-1,5.737293020E-1,1.958167553E-1,1.152772531E-1,7.868936658E-1,1.099786142E2,2.436485575E1,-1.013092346E1,1.056153524E2
7.893859950E-1,5.711665777E-1,1.948887855E-1,1.140444800E-1,7.891647220E-1,1.103367702E2,2.414899528E1,-1.021380778E1,1.060184670E2
8.060519320E-1,5.680400334E-1,1.931915283E-1,1.129876971E-1,7.919856906E-1,1.107726718E2,2.388425809E1,-1.023272138E1,1.065314095E2
8.227178700E-1,5.639359276E-1,1.917116344E-1,1.118173599E-1,7.954368591E-1,1.113431344E2,2.361405863E1,-1.030414236E1,1.071699446E2
8.393838070E-1,5.588556641E-1,1.914067119E-1,1.104086861E-1,7.992832661E-1,1.120466076E2,2.339747338E1,-1.051956815E1,1.078936850E2
8.560497450E-1,5.504830297E-1,1.927891970E-1,1.083940119E-1,8.050164580E-1,1.131996857E2,2.320554715E1,-1.101458245E1,1.090019008E2
8.727156820E-1,5.376229607E-1,1.981497407E-1,1.059175879E-1,8.126990199E-1,1.149560608E2,2.319410396E1,-1.201599489E1,1.105539372E2
8.893816200E-1,5.241895372E-1,2.055394948E-1,1.038560271E-1,8.198736310E-1,1.167726014E2,2.334279340E1,-1.318831654E1,1.120781638E2
9.060475570E-1,5.091617789E-1,2.132573277E-1,1.016596854E-1,8.276115656E-1,1.187839753E2,2.345435419E1,-1.444591562E1,1.137847761E2
9.227134950E-1,4.930089644E-1,2.198711634E-1,9.873213619E-2,8.359729648E-1,1.209229106E2,2.336776654E1,-1.567980085E1,1.156786236E2
9.393794320E-1,4.763467992E-1,2.252293229E-1,9.527325630E-2,8.445640802E-1,1.231058475E2,2.309919181E1,-1.683849799E1,1.176877617E2
9.560453700E-1,4.595011004E-1,2.290070802E-1,9.159347415E-2,8.532438874E-1,1.252901618E2,2.266371460E1,-1.785584489E1,1.197856957E2
9.727113070E-1,4.423062553E-1,2.315645963E-1,8.804342896E-2,8.619694710E-1,1.274977557E2,2.212305032E1,-1.874270552E1,1.219763042E2
9.893772450E-1,4.247424447E-1,2.340934575E-1,8.516468853E-2,8.703683615E-1,1.297312758E2,2.161792433E1,-1.958159650E1,1.242009446E2
1.006043182E0,4.066733890E-1,2.380086184E-1,8.338868618E-2,8.780745864E-1,1.320079342E2,2.128503441E1,-2.049677871E1,1.264065856E2
