,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,-2.582125761809346,-2.583208665209186,-2.584340928656009,-2.5855226876938846,-2.586754092585616,-2.588035309803563,-2.5893665246378124,-2.5907479449222377,-2.5921798057467202,-2.5936623748759247,-2.595195958399747,-2.596780905824374,-2.5984176134687496,-2.6001065249121993,-2.601848127484784,-2.6036429443135116,-2.6054915220606794,-2.6073944150651718,-2.609352167021584,-2.611365291548417,-2.613434252947617,-2.615559448132924,-2.617741190240594,-2.61997969403342,-2.6222750629611475,-2.624627277606254,-2.6270361851706947,-2.629501489681726,-2.632022742719622,-2.634599334550547,-2.637230485490554,-2.6399152373044372,-2.6426524446708104,-2.6454407670975364,-2.6482786617478404,-2.6511643773144566,-2.6540959487519356,-2.6570711927076505,-2.6600877037367594,-2.6631428514935926,-2.666233778972875,-2.669357401713418,-2.6725104078174096,-2.6756892586251184,-2.6788901898390445,-2.6821092128577333,-2.6853421161430693,-2.6885844667019483,-2.6918316123041772,-2.6950786856915627,-2.6983206122415573,-2.7015521220948737,-2.7047677670337724,-2.707961941920412,-2.7111289103871528,-2.714262834496749,-2.7173578080000342,-2.7204078925736126,-2.72340715619818,-2.7263497125542306,-2.7292297596590394,-2.732041615291183,-2.7347797469625696,-2.737438795591733,-2.7400135938040417,-2.7424991807615036,-2.7448908152368015,-2.7471839880220346,-2.7493744343322586,-2.7514581464853296,-2.753431386667103,-2.755290699238914,-2.757032921911314,-2.758655195030609,-2.760154968157503,-2.761530003344889,-2.76277837523638,-2.7638984689318336,-2.7648889768749156,-2.7657488956377407,-2.7664775227843426,-2.7670744533827616,-2.7675395752492924,-2.767873061563292,-2.768075359282687,-2.7681471722805635,-2.768089439538275,-2.7679033105764907,-2.7675901215111516,-2.7671513749242926,-2.7665887254466366,-2.7659039716123592,-2.7650990539757525,-2.764176059581276,-2.763137232782285,-2.761984991489663,-2.7607219466809463,-2.75935092231002,-2.7578749728792085,-2.756297396608709,-2.7546217430827302,-2.752851815234717,-2.7509916663310108,-2.7490455929789137,-2.74701812501952,-2.7449140127546428,-2.742738211767302,-2.740495865847423,-2.738192289057698,-2.7358329482745334,-2.7334234470880197,-2.730969510742291,-2.728476970654615,-2.7259517469747494,-2.723399828820305,-2.7208272533841535,-2.7182400859636733,-2.7156444027321065,-2.7130462771348958,-2.7104517696652675,-2.707866919927885,-2.7052977397518245,-2.702750206597188,-2.7002302570610746,-2.697743780457362,-2.695296612061917,-2.6928945248748484,-2.6905432182653506
1,-2.7400135938040417,-2.7424991807615036,-2.7448908152368015,-2.7471839880220346,-2.7493744343322586,-2.7514581464853296,-2.753431386667103,-2.755290699238914,-2.757032921911314,-2.758655195030609,-2.760154968157503,-2.761530003344889,-2.76277837523638,-2.7638984689318336,-2.7648889768749156,-2.7657488956377407,-2.7664775227843426,-2.7670744533827616,-2.7675395752492924,-2.767873061563292,-2.768075359282687,-2.7681471722805635,-2.768089439538275,-2.7679033105764907,-2.7675901215111516,-2.7671513749242926,-2.7665887254466366,-2.7659039716123592,-2.7650990539757525,-2.764176059581276,-2.763137232782285,-2.761984991489663,-2.7607219466809463,-2.75935092231002,-2.7578749728792085,-2.756297396608709,-2.7546217430827302,-2.752851815234717,-2.7509916663310108,-2.7490455929789137,-2.74701812501952,-2.7449140127546428,-2.742738211767302,-2.740495865847423,-2.738192289057698,-2.7358329482745334,-2.7334234470880197,-2.730969510742291,-2.728476970654615,-2.7259517469747494,-2.723399828820305,-2.7208272533841535,-2.7182400859636733,-2.7156444027321065,-2.7130462771348958,-2.7104517696652675,-2.707866919927885,-2.7052977397518245,-2.702750206597188,-2.7002302570610746,-2.697743780457362,-2.695296612061917,-2.6928945248748484,-2.6905432182653506,-2.688248302186638,-2.6860152767712417,-2.6838495086020684,-2.681756206079533,-2.679740396362546,-2.6778069053673663,-2.6759603409362183,-2.6742050781855693,-2.6725452456559555,-2.6709847112706524,-2.669527067801443,-2.668175618069008,-2.666933360365922,-2.665802974661321,-2.664786810129591,-2.6638868744100517,-2.663104824669852,-2.6624419601706526,-2.661899215874359,-2.6614771566762876,-2.6611759720295383,-2.66099547096462,-2.6609350777194902,-2.6609938282604637,-2.6611703678691554,-2.6614629497794917,-2.661869434701293,-2.662387291054023,-2.663013595840621,-2.6637450362319646,-2.664577912063933,-2.6655081395821356,-2.666531256880176,-2.667642431482042,-2.6688364703779786,-2.6701078326256082,-2.671450644504393,-2.672858717183264,-2.6743255668260177,-2.6758444368974184,-2.6774083221456353,-2.6790099934869516,-2.6806420229812224,-2.682296808259191,-2.6839665959698884,-2.6856435039035804,-2.6873195414514988,-2.6889866281228936,-2.690636609980574,-2.692261274036631,-2.693852360839349,-2.6954015755764194,-2.696900597912604,-2.698341090545831,-2.6997147062712887,-2.7010130932569525,-2.702227898238418,-2.7033507674238004,-2.704373345061202,-2.7052872698378168,-2.7060841694725513,-2.706755653935975,-2.707293307674373,-2.7076886811320118
2,-2.688248302186638,-2.6860152767712417,-2.6838495086020684,-2.681756206079533,-2.679740396362546,-2.6778069053673663,-2.6759603409362183,-2.6742050781855693,-2.6725452456559555,-2.6709847112706524,-2.669527067801443,-2.668175618069008,-2.666933360365922,-2.665802974661321,-2.664786810129591,-2.6638868744100517,-2.663104824669852,-2.6624419601706526,-2.661899215874359,-2.6614771566762876,-2.6611759720295383,-2.66099547096462,-2.6609350777194902,-2.6609938282604637,-2.6611703678691554,-2.6614629497794917,-2.661869434701293,-2.662387291054023,-2.663013595840621,-2.6637450362319646,-2.664577912063933,-2.6655081395821356,-2.666531256880176,-2.667642431482042,-2.6688364703779786,-2.6701078326256082,-2.671450644504393,-2.672858717183264,-2.6743255668260177,-2.6758444368974184,-2.6774083221456353,-2.6790099934869516,-2.6806420229812224,-2.682296808259191,-2.6839665959698884,-2.6856435039035804,-2.6873195414514988,-2.6889866281228936,-2.690636609980574,-2.692261274036631,-2.693852360839349,-2.6954015755764194,-2.696900597912604,-2.698341090545831,-2.6997147062712887,-2.7010130932569525,-2.702227898238418,-2.7033507674238004,-2.704373345061202,-2.7052872698378168,-2.7060841694725513,-2.706755653935975,-2.707293307674373,-2.7076886811320118,-2.7079332818638675,-2.708018565637097,-2.707935928081152,-2.7076766975916593,-2.707232130289832,-2.7065934078545473,-2.705751638924417,-2.704697864505228,-2.703423067397636,-2.7019181850137954,-2.7001741241904567,-2.698181776110959,-2.6959320295598603,-2.6934157815199633,-2.6906239453986047,-2.687547458443384,-2.68417729050945,-2.680504456046812,-2.676520030442706,-2.6722151712627915,-2.6675811447281776,-2.6626093577939463,-2.6572913960327926,-2.6516190669014437,-2.645584447165466,-2.6391799328231618,-2.632398289964525,-2.6252327053269964,-2.6176768354544415,-2.6097248530867168,-2.6013714889057313,-2.592612066714478,-2.5834425310284996,-2.573859467526524,-2.5638601177963696,-2.5534423897300207,-2.542604864207349,-2.531346798113111,-2.5196681235792733,-2.5075694437411857,-2.495052026198251,-2.4821177961223455,-2.468769330703024,-2.455009855458963,-2.440843241914651,-2.426274005975231,-2.4113073068264517,-2.3959489466172874,-2.380205370996461,-2.364083669804905,-2.3475915765085875,-2.3307374650809956,-2.313530344097867,-2.295979848795431,-2.2780962316935387,-2.2598903512156236,-2.2413736567555347,-2.2225581688703193,-2.203456454566079,-2.184081598893069,-2.164447174389611,-2.1445672094729806,-2.1244561563975872,-2.104128859166772
3,-2.7079332818638675,-2.708018565637097,-2.707935928081152,-2.7076766975916593,-2.707232130289832,-2.7065934078545473,-2.705751638924417,-2.704697864505228,-2.703423067397636,-2.7019181850137954,-2.7001741241904567,-2.698181776110959,-2.6959320295598603,-2.6934157815199633,-2.6906239453986047,-2.687547458443384,-2.68417729050945,-2.680504456046812,-2.676520030442706,-2.6722151712627915,-2.6675811447281776,-2.6626093577939463,-2.6572913960327926,-2.6516190669014437,-2.645584447165466,-2.6391799328231618,-2.632398289964525,-2.6252327053269964,-2.6176768354544415,-2.6097248530867168,-2.6013714889057313,-2.592612066714478,-2.5834425310284996,-2.573859467526524,-2.5638601177963696,-2.5534423897300207,-2.542604864207349,-2.531346798113111,-2.5196681235792733,-2.5075694437411857,-2.495052026198251,-2.4821177961223455,-2.468769330703024,-2.455009855458963,-2.440843241914651,-2.426274005975231,-2.4113073068264517,-2.3959489466172874,-2.380205370996461,-2.364083669804905,-2.3475915765085875,-2.3307374650809956,-2.313530344097867,-2.295979848795431,-2.2780962316935387,-2.2598903512156236,-2.2413736567555347,-2.2225581688703193,-2.203456454566079,-2.184081598893069,-2.164447174389611,-2.1445672094729806,-2.1244561563975872,-2.104128859166772,-2.0836005216659292,-2.0628866763910514,-2.0420031545423867,-2.020966058407086,-1.9997917363586029,-1.9784967597896752,-1.9570979006542704,-1.935612108376245,-1.9140564854037587,-1.8924482611605522,-1.8708047643558607,-1.8491433936756088,-1.827481586998912,-1.8058367895634362,-1.7842264218015478,-1.7626678477204818,-1.7411783447344449,-1.7197750757696915,-1.6984750641452953,-1.6772951712813562,-1.6562520769350153,-1.635362261436298,-1.6146419891996262,-1.5941072926444566,-1.5737739555826378,-1.553657495094062,-1.533773141050472,-1.5141358129109677,-1.4947600940444532,-1.47566020428061,-1.456849971501624,-1.4383428030603207,-1.4201516579207483,-1.4022890206763865,-1.3847668787395,-1.3675967037662626,-1.3507894378884806,-1.3343554849149595,-1.3183047064830482,-1.3026464229426338,-1.2873894182526968,-1.272541947354336,-1.2581117435736717,-1.2441060230642493,-1.2305314838124704,-1.217394298367963,-1.204700101164786,-1.1924539721167717,-1.1806604182466973,-1.1693233549794937,-1.1584460884533814,-1.1480312994443191,-1.1380810282769263,-1.1285966591702987,-1.1195789024851217,-1.11102777398931,-1.1029425708739249,-1.0953218446283033,-1.0881633711938368,-1.0814641192652412,-1.0752202182495822,-1.069426928108892,-1.0640786143717504,-1.0591687335701838
4,-2.0836005216659292,-2.0628866763910514,-2.0420031545423867,-2.020966058407086,-1.9997917363586029,-1.9784967597896752,-1.9570979006542704,-1.935612108376245,-1.9140564854037587,-1.8924482611605522,-1.8708047643558607,-1.8491433936756088,-1.827481586998912,-1.8058367895634362,-1.7842264218015478,-1.7626678477204818,-1.7411783447344449,-1.7197750757696915,-1.6984750641452953,-1.6772951712813562,-1.6562520769350153,-1.635362261436298,-1.6146419891996262,-1.5941072926444566,-1.5737739555826378,-1.553657495094062,-1.533773141050472,-1.5141358129109677,-1.4947600940444532,-1.47566020428061,-1.456849971501624,-1.4383428030603207,-1.4201516579207483,-1.4022890206763865,-1.3847668787395,-1.3675967037662626,-1.3507894378884806,-1.3343554849149595,-1.3183047064830482,-1.3026464229426338,-1.2873894182526968,-1.272541947354336,-1.2581117435736717,-1.2441060230642493,-1.2305314838124704,-1.217394298367963,-1.204700101164786,-1.1924539721167717,-1.1806604182466973,-1.1693233549794937,-1.1584460884533814,-1.1480312994443191,-1.1380810282769263,-1.1285966591702987,-1.1195789024851217,-1.11102777398931,-1.1029425708739249,-1.0953218446283033,-1.0881633711938368,-1.0814641192652412,-1.0752202182495822,-1.069426928108892,-1.0640786143717504,-1.0591687335701838,-1.054689836180568,-1.0506335929186974,-1.0469908452916006,-1.0437516763191266,-1.0409054955183679,-1.038441132048637,-1.036346928666402,-1.0346108282251287,-1.0332204471695863,-1.032163136101007,-1.031426031311211,-1.0309961006028094,-1.0308601840940155,-1.031005029431242,-1.0314173214656939,-1.0320837075511302,-1.0329908202180782,-1.0341252991017242,-1.0354738135605173,-1.037023086302466,-1.0387599173240158,-1.0406712073167188,-1.0427439799746052,-1.044965402740391,-1.0473228056759598,-1.0498036987122106,-1.0523957883575152,-1.0550869954584339,-1.0578654755472625,-1.0607196431414103,-1.0636382014706927,-1.0666101787719393,-1.0696249705339207,-1.0726723846824227,-1.0757426856170809,-1.0788266332520013,-1.081915512932066,-1.085001151377391,-1.0880759148269235,-1.091132689015252,-1.0941648446978842,-1.0971661946925442,-1.100130948077467,-1.103053665549473,-1.105929217805674,-1.108752745891298,-1.1115196198716626,-1.1142253923133643,-1.116865746386707,-1.1194364431126993,-1.1219332765166092,-1.1243520475950666,-1.1266885660054164,-1.1289386816546925,-1.1310983397779826,-1.1331636476904061,-1.1351309422337752,-1.1369968518794549,-1.138758351574843,-1.1404128093324342,-1.141958022384484,-1.143392239692476,-1.1447141683608393,-1.1459229642150295
5,-1.054689836180568,-1.0506335929186974,-1.0469908452916006,-1.0437516763191266,-1.0409054955183679,-1.038441132048637,-1.036346928666402,-1.0346108282251287,-1.0332204471695863,-1.032163136101007,-1.031426031311211,-1.0309961006028094,-1.0308601840940155,-1.031005029431242,-1.0314173214656939,-1.0320837075511302,-1.0329908202180782,-1.0341252991017242,-1.0354738135605173,-1.037023086302466,-1.0387599173240158,-1.0406712073167188,-1.0427439799746052,-1.044965402740391,-1.0473228056759598,-1.0498036987122106,-1.0523957883575152,-1.0550869954584339,-1.0578654755472625,-1.0607196431414103,-1.0636382014706927,-1.0666101787719393,-1.0696249705339207,-1.0726723846824227,-1.0757426856170809,-1.0788266332520013,-1.081915512932066,-1.085001151377391,-1.0880759148269235,-1.091132689015252,-1.0941648446978842,-1.0971661946925442,-1.100130948077467,-1.103053665549473,-1.105929217805674,-1.108752745891298,-1.1115196198716626,-1.1142253923133643,-1.116865746386707,-1.1194364431126993,-1.1219332765166092,-1.1243520475950666,-1.1266885660054164,-1.1289386816546925,-1.1310983397779826,-1.1331636476904061,-1.1351309422337752,-1.1369968518794549,-1.138758351574843,-1.1404128093324342,-1.141958022384484,-1.143392239692476,-1.1447141683608393,-1.1459229642150295,-1.1470182097731367,-1.1479998838797183,-1.1488683262057893,-1.1496241986991906,-1.1502684460652828,-1.150802257370573,-1.1512270299601548,-1.1515443357556272,-1.1517558895901738,-1.1518635197932678,-1.151869142507675,-1.1517747423093163,-1.1515823615062173,-1.1512940989172862,-1.1509121170951093,-1.1504386562095466,-1.1498760534287442,-1.1492267673565602,-1.1484934064249313,-1.147678758178367,-1.1467858146252767,-1.1458177882797858,-1.1447781141389581,-1.1436704348335534,-1.1424985697043457,-1.1412664722789292,-1.1399781825681299,-1.1386377798438156,-1.137249338789114,-1.135816888935246,-1.134344375613622,-1.1328356202841818,-1.131294278330399,-1.1297237932318,-1.1281273483223586,-1.1265078215604964,-1.1248677527814968,-1.123209332472533,-1.1215344149409776,-1.1198445514207258,-1.1181410347634824,-1.1164249469814806,-1.1146972028524391,-1.1129585862981557,-1.1112097792844042,-1.1094513839023423,-1.1076839378780854,-1.1059079236092335,-1.1041237713847556,-1.1023318580805495,-1.100532502633974,-1.0987259591277307,-1.0969124081619845,-1.0950919475996872,-1.093264583958362,-1.0914302251514212,-1.0895886745611612,-1.0877396262677974,-1.0858826614927088,-1.0840172465417839,-1.082142732777256,-1.0802583595290507,-1.078363261350489,-1.0764564812914796
6,-1.1470182097731367,-1.1479998838797183,-1.1488683262057893,-1.1496241986991906,-1.1502684460652828,-1.150802257370573,-1.1512270299601548,-1.1515443357556272,-1.1517558895901738,-1.1518635197932678,-1.151869142507675,-1.1517747423093163,-1.1515823615062173,-1.1512940989172862,-1.1509121170951093,-1.1504386562095466,-1.1498760534287442,-1.1492267673565602,-1.1484934064249313,-1.147678758178367,-1.1467858146252767,-1.1458177882797858,-1.1447781141389581,-1.1436704348335534,-1.1424985697043457,-1.1412664722789292,-1.1399781825681299,-1.1386377798438156,-1.137249338789114,-1.135816888935246,-1.134344375613622,-1.1328356202841818,-1.131294278330399,-1.1297237932318,-1.1281273483223586,-1.1265078215604964,-1.1248677527814968,-1.123209332472533,-1.1215344149409776,-1.1198445514207258,-1.1181410347634824,-1.1164249469814806,-1.1146972028524391,-1.1129585862981557,-1.1112097792844042,-1.1094513839023423,-1.1076839378780854,-1.1059079236092335,-1.1041237713847556,-1.1023318580805495,-1.100532502633974,-1.0987259591277307,-1.0969124081619845,-1.0950919475996872,-1.093264583958362,-1.0914302251514212,-1.0895886745611612,-1.0877396262677974,-1.0858826614927088,-1.0840172465417839,-1.082142732777256,-1.0802583595290507,-1.078363261350489,-1.0764564812914796,-1.0745369911722205,-1.0726037181416006,-1.0706555755221585,-1.0686914960383596,-1.0667104659246305,-1.0647115580732747,-1.062693961975561,-1.0606570084112061,-1.058600187169898,-1.0565231561750479,-1.0544257406255122,-1.05230792162675,-1.050169815393404,-1.0480116459188007,-1.045833714659121,-1.0436363697346993,-1.0414199755845217,-1.0391848829254877,-1.0369313980568866,-1.0346597499702728,-1.0323700539740746,-1.0300622719692856,-1.0277361722730292,-1.025391295755835,-1.0230269377870762,-1.0206421537734625,-1.0182357901556323,-1.015806536961917,-1.013352995142746,-1.0108737505180714,-1.0083674453649507,-1.0058328401326138,-1.003268861812902,-1.0006746395890227,-0.9980495302202572,-0.995393135174734,-0.9927053103777275,-0.9899861689097449,-0.9872360771723738,-0.9844556454714656,-0.9816457142753572,-0.9788073375058954,-0.9759417643219731,-0.97305042111608,-0.9701348956359092,-0.9671969247977222,-0.9642383867384149,-0.961261296577209,-0.9582678050730047,-0.9552601999754211,-0.9522409107318418,-0.9492125176014837,-0.9461777656433916,-0.943139582650366,-0.9401010990314439,-0.9370656678736692,-0.934036884481249,-0.9310186054395007,-0.9280149670994381,-0.9250304023919105,-0.9220696536580419,-0.9191377786684772,-0.9162401474611226,-0.9133824283855954
7,-1.0745369911722205,-1.0726037181416006,-1.0706555755221585,-1.0686914960383596,-1.0667104659246305,-1.0647115580732747,-1.062693961975561,-1.0606570084112061,-1.058600187169898,-1.0565231561750479,-1.0544257406255122,-1.05230792162675,-1.050169815393404,-1.0480116459188007,-1.045833714659121,-1.0436363697346993,-1.0414199755845217,-1.0391848829254877,-1.0369313980568866,-1.0346597499702728,-1.0323700539740746,-1.0300622719692856,-1.0277361722730292,-1.025391295755835,-1.0230269377870762,-1.0206421537734625,-1.0182357901556323,-1.015806536961917,-1.013352995142746,-1.0108737505180714,-1.0083674453649507,-1.0058328401326138,-1.003268861812902,-1.0006746395890227,-0.9980495302202572,-0.995393135174734,-0.9927053103777275,-0.9899861689097449,-0.9872360771723738,-0.9844556454714656,-0.9816457142753572,-0.9788073375058954,-0.9759417643219731,-0.97305042111608,-0.9701348956359092,-0.9671969247977222,-0.9642383867384149,-0.961261296577209,-0.9582678050730047,-0.9552601999754211,-0.9522409107318418,-0.9492125176014837,-0.9461777656433916,-0.943139582650366,-0.9401010990314439,-0.9370656678736692,-0.934036884481249,-0.9310186054395007,-0.9280149670994381,-0.9250304023919105,-0.9220696536580419,-0.9191377786684772,-0.9162401474611226,-0.9133824283855954,-0.9105705623663742,-0.9078107251124224,-0.905109278004535,-0.9024727096270163,-0.8999075712787473,-0.89742041086293,-0.8950177093551949,-0.8927058219251423,-0.8904909223584689,-0.8883789466922427,-0.8863755320967611,-0.8844859504131899,-0.8827150407789304,-0.88106715019951,-0.8795460925054887,-0.8781551334471475,-0.876897003564479,-0.8757739339771163,-0.8747877069571507,-0.8739397140663397,-0.8732310167312743,-0.872662404727402,-0.8722344485970718,-0.8719475444466891,-0.8718019523082303,-0.8717978298274732,-0.8719352616066375,-0.8722142831829438,-0.8726348987145761,-0.8731970925462698,-0.8739008358457185,-0.8747460899781816,-0.8757328083669903,-0.8768609383549442,-0.8781304240474234,-0.8795412105295084,-0.8810932494297072,-0.8827865054181323,-0.8846209627291326,-0.8865966304283597,-0.8887135451429984,-0.8909717702290072,-0.8933713909290054,-0.8959125063562621,-0.898595220835271,-0.9014196379915819,-0.904385860099061,-0.9074939931413217,-0.9107441562806466,-0.9141364936207279,-0.9176711858198028,-0.9213484589859094,-0.925168588534697,-0.9291318955838062,-0.9332387324089824,-0.9374894533302254,-0.941884370084849,-0.9464236947338595,-0.9511074754871363,-0.9559355309018013,-0.9609073867212817,-0.9660222176861066,-0.9712787940122511,-0.976675429532508
8,-0.9105705623663742,-0.9078107251124224,-0.905109278004535,-0.9024727096270163,-0.8999075712787473,-0.89742041086293,-0.8950177093551949,-0.8927058219251423,-0.8904909223584689,-0.8883789466922427,-0.8863755320967611,-0.8844859504131899,-0.8827150407789304,-0.88106715019951,-0.8795460925054887,-0.8781551334471475,-0.876897003564479,-0.8757739339771163,-0.8747877069571507,-0.8739397140663397,-0.8732310167312743,-0.872662404727402,-0.8722344485970718,-0.8719475444466891,-0.8718019523082303,-0.8717978298274732,-0.8719352616066375,-0.8722142831829438,-0.8726348987145761,-0.8731970925462698,-0.8739008358457185,-0.8747460899781816,-0.8757328083669903,-0.8768609383549442,-0.8781304240474234,-0.8795412105295084,-0.8810932494297072,-0.8827865054181323,-0.8846209627291326,-0.8865966304283597,-0.8887135451429984,-0.8909717702290072,-0.8933713909290054,-0.8959125063562621,-0.898595220835271,-0.9014196379915819,-0.904385860099061,-0.9074939931413217,-0.9107441562806466,-0.9141364936207279,-0.9176711858198028,-0.9213484589859094,-0.925168588534697,-0.9291318955838062,-0.9332387324089824,-0.9374894533302254,-0.941884370084849,-0.9464236947338595,-0.9511074754871363,-0.9559355309018013,-0.9609073867212817,-0.9660222176861066,-0.9712787940122511,-0.976675429532508,-0.9822099271851298,-0.9878795188946431,-0.9936808010787935,-0.9996096729784104,-1.0056612898944932,-1.0118300432238336,-1.0181095727526195,-1.0244928078278555,-1.0309720283087602,-1.0375389361688012,-1.0441847317756134,-1.050900190601853,-1.0576757355848305,-1.0645015008909497,-1.0713673859001405,-1.0782631010622576,-1.0851782076211869,-1.0921021521768768,-1.0990242964891286,-1.1059339430389898,-1.1128203570998603,-1.1196727861657612,-1.1264804776952304,-1.1332326964834005,-1.1399187432571065,-1.1465279756077473,-1.153049831217789,-1.15947385256948,-1.1657897125267602,-1.1719872406555023,-1.1780564501444772,-1.1839875649435685,-1.189771046860549,-1.1953976229515975,-1.20085831411311,-1.2061444658229226,-1.2112477815565161,-1.2161603590313415,-1.2208747293501974,-1.2253838989244021,-1.2296813931073638,-1.233761298964768,-1.23761830370741,-1.2412477250376286,-1.244645528993405,-1.2478083307899834,-1.2507333765973878,-1.253418508479424,-1.2558621183608276,-1.2580630980767202,-1.260020790997626,-1.2617349477627156,-1.263205685913622,-1.2644334511094055,-1.2654189763220742,-1.266163235985928,-1.2666673949129443,-1.2669327553805578,-1.2669607080100345,-1.2667526920067396,-1.2663101686431115,-1.265634609741514,-1.264727501220183,-1.263590360627755
9,-0.9822099271851298,-0.9878795188946431,-0.9936808010787935,-0.9996096729784104,-1.0056612898944932,-1.0118300432238336,-1.0181095727526195,-1.0244928078278555,-1.0309720283087602,-1.0375389361688012,-1.0441847317756134,-1.050900190601853,-1.0576757355848305,-1.0645015008909497,-1.0713673859001405,-1.0782631010622576,-1.0851782076211869,-1.0921021521768768,-1.0990242964891286,-1.1059339430389898,-1.1128203570998603,-1.1196727861657612,-1.1264804776952304,-1.1332326964834005,-1.1399187432571065,-1.1465279756077473,-1.153049831217789,-1.15947385256948,-1.1657897125267602,-1.1719872406555023,-1.1780564501444772,-1.1839875649435685,-1.189771046860549,-1.1953976229515975,-1.20085831411311,-1.2061444658229226,-1.2112477815565161,-1.2161603590313415,-1.2208747293501974,-1.2253838989244021,-1.2296813931073638,-1.233761298964768,-1.23761830370741,-1.2412477250376286,-1.244645528993405,-1.2478083307899834,-1.2507333765973878,-1.253418508479424,-1.2558621183608276,-1.2580630980767202,-1.260020790997626,-1.2617349477627156,-1.263205685913622,-1.2644334511094055,-1.2654189763220742,-1.266163235985928,-1.2666673949129443,-1.2669327553805578,-1.2669607080100345,-1.2667526920067396,-1.2663101686431115,-1.265634609741514,-1.264727501220183,-1.263590360627755,-1.2622247665504995,-1.2606323964155954,-1.258815068112149,-1.2567747811209578,-1.2545137543711278,-1.2520344594655977,-1.2493396483108363,-1.2464323739434402,-1.2433160036417044,-1.2399942246760083,-1.236471044223471,-1.2327507849961354,-1.228838077377268,-1.2247378482352338,-1.220455306406935,-1.2159959250812802,-1.2113654218114505,-1.206569737288283,-1.2016150143292923,-1.196507579031033,-1.191253926108536,-1.185860709480145,-1.1803347380216112,-1.1746829762117144,-1.1689125497846364,-1.1630307566464326,-1.1570450830741044,-1.1509632249022939,-1.144793113078702,-1.138542942179315,-1.1322211988294502,-1.125836685136512,-1.1193985313814354,-1.1129161927274838,-1.106399426563205,-1.0998582503368812,-1.093302883567613,-1.086743680694966,-1.080191062550168,-1.0736554529278157,-1.0671472232752992,-1.0606766446669569,-1.05425384385847,-1.0478887596017021,-1.041591095943505,-1.035370270894517,-1.029235361753756,-1.0231950516226556,-1.0172575837875213,-1.0114307308426898,-1.0057217834893135,-1.0001375601513238,-0.9946844339534121,-0.9893683701678856,-0.984194966700682,-0.9791694923112522,-0.9742969200954696,-0.9695819557387162,-0.965029060803617,-0.9606424711981447,-0.9564262106751034,-0.9523840992950358,-0.9485197571634524,-0.9448366040167029
