"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
6.922219420E-1,3.273693232E-2,1.495431662E-1,4.069466516E-2,9.873748422E-1,1.762479535E2,5.409907388E0,-1.701642777E1,1.753921506E2
7.088878790E-1,2.477530889E-2,1.572365314E-1,4.322322085E-2,9.863035083E-1,1.771606682E2,5.613029717E0,-1.794019673E1,1.762354334E2
7.255538170E-1,1.742246862E-2,1.660465151E-1,4.930405691E-2,9.847304821E-1,1.780034311E2,6.246510465E0,-1.898400181E1,1.769273683E2
7.422197540E-1,8.594380228E-3,1.734590232E-1,5.618831143E-2,9.831993580E-1,1.790151444E2,6.930430097E0,-1.988441639E1,1.777821004E2
7.588856920E-1,1.534400354E-3,1.822875291E-1,6.223272905E-2,9.812726378E-1,1.798241706E2,7.549300484E0,-2.095021097E1,1.784230740E2
7.755516290E-1,6.022227640E-3,-1.867041886E-1,-6.660022587E-2,-9.801375866E-1,1.793098994E2,7.927424314E0,-2.151801485E1,1.791953921E2
7.922175670E-1,1.572076686E-2,-1.904862225E-1,-7.007199526E-2,-9.790596366E-1,1.781984586E2,8.138242302E0,-2.203654569E1,-1.797473365E2
8.088835040E-1,3.006645778E-2,-1.934915483E-1,-6.914853305E-2,-9.782001376E-1,1.765541184E2,7.691307659E0,-2.250133887E1,-1.780111640E2
8.255494420E-1,4.755641109E-2,-1.954618841E-1,-6.452734768E-2,-9.774299264E-1,1.745483805E2,6.702003449E0,-2.284490498E1,-1.757845698E2
8.422153790E-1,6.890501286E-2,-1.964122504E-1,-5.781513825E-2,-9.763870835E-1,1.720978056E2,5.352254098E0,-2.304887937E1,-1.730185646E2
8.588813170E-1,9.176650055E-2,-1.973001212E-1,-4.957856983E-2,-9.747787118E-1,1.694695185E2,3.770326386E0,-2.318786424E1,-1.700177414E2
8.755472540E-1,1.146524205E-1,-1.969930381E-1,-3.824390098E-2,-9.729264975E-1,1.668328448E2,1.821806036E0,-2.308454597E1,-1.669302791E2
8.922131920E-1,1.381421471E-1,-1.959145814E-1,-2.214853466E-2,-9.705893397E-1,1.641192909E2,-6.916665364E-1,-2.273220352E1,-1.636601696E2
9.088791290E-1,1.657316717E-1,-1.924546510E-1,-1.912667532E-3,-9.672076106E-1,1.609205172E2,-3.713281009E0,-2.189588755E1,-1.598349848E2
9.255450670E-1,1.952750573E-1,-1.863397509E-1,2.323987707E-2,-9.626032710E-1,1.574784158E2,-7.205861074E0,-2.046689799E1,-1.557624833E2
9.422110040E-1,2.276978983E-1,-1.765360087E-1,5.173956975E-2,-9.561964869E-1,1.536768496E2,-1.088840644E1,-1.830312509E1,-1.514521158E2
9.588769420E-1,2.588881108E-1,-1.668102145E-1,8.507212996E-2,-9.475832582E-1,1.499918064E2,-1.491011720E1,-1.578836276E1,-1.473594822E2
9.755428790E-1,2.847700674E-1,-1.576261073E-1,1.227633581E-1,-9.375442266E-1,1.469097902E2,-1.917393610E1,-1.304076434E1,-1.439967759E2
9.922088170E-1,3.053517462E-1,-1.471719146E-1,1.661899835E-1,-9.260030389E-1,1.444413459E2,-2.380424000E1,-9.850064671E0,-1.414187915E2
1.008874754E0,3.221121990E-1,-1.364087760E-1,2.144358158E-1,-9.119504690E-1,1.424185801E2,-2.881264395E1,-6.352862100E0,-1.394588489E2
1.025540692E0,3.355186756E-1,-1.297948956E-1,2.656362355E-1,-8.944371939E-1,1.407918372E2,-3.427092088E1,-3.091743985E0,-1.379226979E2
1.042206629E0,3.465870616E-1,-1.272260249E-1,3.186606765E-1,-8.730099201E-1,1.394425879E2,-4.013405447E1,-7.172451567E-2,-1.366674033E2
1.058872567E0,3.556332805E-1,-1.286379695E-1,3.719552755E-1,-8.477184176E-1,1.383354767E2,-4.629470113E1,2.663023618E0,-1.356207763E2
1.075538504E0,3.618971908E-1,-1.321799755E-1,4.228907228E-1,-8.201965094E-1,1.375664904E2,-5.242366356E1,5.120969001E0,-1.349051730E2
1.092204442E0,3.653884015E-1,-1.362111270E-1,4.701113999E-1,-7.917910814E-1,1.371370249E2,-5.831874617E1,7.345080489E0,-1.345581815E2
1.108870379E0,3.688945626E-1,-1.416758299E-1,5.114368796E-1,-7.630708218E-1,1.367050835E2,-6.373639973E1,9.271631417E0,-1.341702444E2
1.125536317E0,3.748294953E-1,-1.501679271E-1,5.445207357E-1,-7.351527810E-1,1.359724500E2,-6.838170331E1,1.080179724E1,-1.333191016E2
1.142202254E0,3.816385603E-1,-1.616872996E-1,5.695777535E-1,-7.097819448E-1,1.351295683E2,-7.221918433E1,1.184239057E1,-1.321206209E2
1.208866160E0,4.031503014E-1,-2.073799223E-1,5.821570754E-1,-6.749492884E-1,1.324494653E2,-7.608221228E1,1.092079005E1,-1.268547847E2
1.225532150E0,4.097843508E-1,-2.182676047E-1,5.823587179E-1,-6.673038006E-1,1.316174225E2,-7.667608875E1,1.071835401E1,-1.253783601E2
1.242198139E0,4.169244585E-1,-2.298009545E-1,5.774578452E-1,-6.632555723E-1,1.307188652E2,-7.663795080E1,1.017638454E1,-1.237430516E2
1.258864129E0,4.246895164E-1,-2.396833152E-1,5.671426654E-1,-6.637318134E-1,1.297379752E2,-7.581211284E1,9.412907170E0,-1.221094593E2
1.275530119E0,4.331482485E-1,-2.440266311E-1,5.553840399E-1,-6.666199565E-1,1.286649551E2,-7.449859606E1,8.962106310E0,-1.207915974E2
1.292196108E0,4.398571900E-1,-2.452325225E-1,5.433816910E-1,-6.716569066E-1,1.278104607E2,-7.299582402E1,8.545597688E0,-1.198879595E2
1.308862098E0,4.437279808E-1,-2.481983006E-1,5.294237137E-1,-6.791270971E-1,1.273160319E2,-7.139519516E1,7.627021574E0,-1.191644164E2
1.325528087E0,4.507052478E-1,-2.590817213E-1,5.063909292E-1,-6.879750490E-1,1.264221181E2,-6.922696632E1,5.738167281E0,-1.175031165E2
1.342194077E0,4.612811573E-1,-2.748086751E-1,4.750643075E-1,-6.971468925E-1,1.250603816E2,-6.653471337E1,3.159308597E0,-1.150901827E2
1.358860067E0,4.757105176E-1,-2.937777638E-1,4.395157993E-1,-7.030078173E-1,1.231887563E2,-6.382931428E1,2.926937636E-1,-1.120115287E2
1.375526056E0,4.909781267E-1,-3.132374585E-1,4.035504460E-1,-7.056697607E-1,1.211902174E2,-6.140852665E1,-2.625955189E0,-1.087829305E2
1.392192046E0,5.012007419E-1,-3.288746178E-1,3.768758774E-1,-7.061188817E-1,1.198410554E2,-5.990076783E1,-4.971960673E0,-1.063999720E2
1.408858035E0,5.023218990E-1,-3.357549310E-1,3.681163788E-1,-7.067047954E-1,1.196925303E2,-5.958215253E1,-6.011806971E0,-1.057461124E2
1.425524025E0,5.004379576E-1,-3.383272290E-1,3.654712737E-1,-7.081859112E-1,1.199420414E2,-5.952230090E1,-6.511680169E0,-1.057801857E2
1.442190014E0,4.976056980E-1,-3.362511992E-1,3.658328652E-1,-7.109782100E-1,1.203165595E2,-5.936762080E1,-6.549036264E0,-1.062887131E2
1.458856004E0,4.957574202E-1,-3.320727050E-1,3.663671911E-1,-7.139519453E-1,1.205605842E2,-5.905748559E1,-6.367741166E0,-1.068395082E2
