"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.284987038E0,-1.102000117E0,2.733619884E-2,2.814941168E0
1.301653704E0,-1.529223561E0,3.942979336E0,2.260734081E0
1.318320370E0,-1.529223561E0,3.942979336E0,2.260734081E0
1.334987036E0,-3.679696620E-1,3.185049057E0,2.056247234E0
1.351653702E0,-3.679696620E-1,3.185049057E0,2.056247234E0
1.368320368E0,3.111592531E-1,1.568548083E0,1.969122648E0
1.384987034E0,3.111592531E-1,1.568548083E0,1.969122648E0
1.401653700E0,3.111592531E-1,1.568548083E0,1.969122648E0
1.418320366E0,3.111592531E-1,1.568548083E0,1.969122648E0
1.434987032E0,3.111592531E-1,1.568548083E0,1.969122648E0
1.451653698E0,3.111592531E-1,1.568548083E0,1.969122648E0
1.468320364E0,3.111592531E-1,1.568548083E0,1.969122648E0
1.484987030E0,-1.020755053E0,1.122464016E-1,5.904008150E-1
1.501653696E0,-5.839866996E-1,1.105054379E0,1.661857605E0
1.518320362E0,-1.133154154E0,1.959043384E0,1.441946268E0
1.534987028E0,-1.327409148E0,2.040899277E0,1.803578258E0
1.551653694E0,-1.331074357E0,2.015242815E0,2.238513947E0
1.568320360E0,-1.706145287E0,2.362824917E0,3.133430958E0
1.584987026E0,-1.706145287E0,2.362824917E0,3.133430958E0
1.601653692E0,-3.343873739E0,1.535714030E0,2.041204691E0
1.618320358E0,-3.628536701E0,1.097113132E0,1.055879712E0
1.634987024E0,-3.923584461E0,5.259546041E-1,2.412915789E-2
1.651653690E0,-4.392117977E0,8.197805285E-1,1.273653060E-1
1.668320356E0,-4.392117977E0,8.197805285E-1,1.273653060E-1
1.684987022E0,-5.823984623E0,1.228449106E0,1.312443018E0
1.701653688E0,-6.372541428E0,1.080619812E0,1.561675787E0
1.718320354E0,-6.425686836E0,5.949822664E-1,1.266628146E0
1.734987020E0,-6.425686836E0,5.949822664E-1,1.266628146E0
1.751653686E0,-5.962040424E0,-2.919169962E-1,4.437932670E-1
1.768320352E0,-5.962040424E0,-2.919169962E-1,4.437932670E-1
1.784987018E0,-5.962040424E0,-2.919169962E-1,4.437932670E-1
1.801653684E0,-5.857582569E0,-6.688205600E-1,1.163697392E-1
1.818320350E0,-5.629729748E0,-7.696132660E-1,2.544251680E-1
1.834987016E0,-5.629729748E0,-7.696132660E-1,2.544251680E-1
1.851653682E0,-5.629729748E0,-7.696132660E-1,2.544251680E-1
1.868320348E0,-3.707338333E0,-6.999746561E-1,1.725693047E-1
1.884987014E0,-3.412290573E0,-5.497019291E-1,-8.155044913E-2
1.901653680E0,-2.444070101E0,-1.721875072E-1,-3.594939113E-1
1.918320346E0,-2.444070101E0,-1.721875072E-1,-3.594939113E-1
1.934987012E0,-1.257159710E0,-3.657552972E-2,-4.731147587E-1
1.951653678E0,-8.222240210E-1,-3.902662396E-1,-4.279107749E-1
1.968320344E0,-6.481275558E-1,-1.170951366E0,-5.262600183E-1
1.984987010E0,-6.481275558E-1,-1.170951366E0,-5.262600183E-1
2.001653676E0,-1.089171886E0,-4.660134614E-1,-1.090088248E0
2.018320342E0,-1.422704101E0,1.178968996E-1,-1.126740098E0
2.034987008E0,-1.288313866E0,7.330377400E-2,-9.923498631E-1
2.051653674E0,-1.288313866E0,7.330377400E-2,-9.923498631E-1
2.068320340E0,-6.029235125E-1,-3.346775472E-1,-1.021060467E0
2.084987006E0,-9.834922850E-2,-7.812197208E-1,-9.789108038E-1
2.101653672E0,5.265654325E-1,-8.441387415E-1,-6.783653498E-1
