"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.307421307E0,-3.326023519E-1,1.635793328E0,1.563859177E1
1.324087973E0,-6.547361016E-1,1.432403445E0,1.350419331E1
1.340754639E0,-1.279262781E0,2.100000858E0,1.093669510E1
1.357421305E0,-1.409372568E0,2.695813894E0,9.470791817E0
1.374087971E0,-1.409372568E0,2.695813894E0,9.470791817E0
1.390754637E0,-1.409372568E0,2.695813894E0,9.470791817E0
1.407421303E0,-1.409372568E0,2.695813894E0,9.470791817E0
1.424087969E0,-1.409372568E0,2.695813894E0,9.470791817E0
1.440754635E0,-1.736291885E0,1.921436548E0,1.008185863E1
1.457421301E0,-2.683849812E0,1.654935956E0,1.075573826E1
1.474087967E0,-4.072584152E0,5.120640397E-1,9.999606133E0
1.490754633E0,-2.837887764E0,8.901300430E-1,1.039681435E1
1.507421299E0,-3.847658873E0,8.997012973E-1,1.041117096E1
1.524087965E0,-4.005585194E0,8.566305041E-1,1.024845982E1
1.540754631E0,-4.228117466E0,8.470591903E-1,1.223450184E1
1.557421297E0,-1.852044702E0,1.945364833E0,1.089930725E1
1.574087963E0,-1.806581140E0,2.376072884E0,8.051848412E0
1.590754629E0,-2.861815929E0,4.386044025E0,5.106283665E0
1.607421295E0,-2.318645239E0,4.335794449E0,5.120640278E0
1.624087961E0,-4.094119549E0,6.963114142E-1,7.453642368E0
1.640754627E0,-3.866801500E0,-9.714859724E-1,8.748159409E0
1.657421293E0,-2.921636343E0,-3.390629768E0,9.288937569E0
1.674087959E0,-3.022135019E0,-4.558327198E0,7.755138397E0
1.690754625E0,-4.560719967E0,-4.898108006E0,8.185846329E0
1.707421291E0,-5.350351334E0,-5.460421085E0,8.147561073E0
1.724087957E0,-6.142375946E0,-5.977271080E0,8.367700577E0
1.740754623E0,-6.080162525E0,-6.881757736E0,7.520641804E0
1.757421289E0,-6.080162525E0,-6.881757736E0,7.520641804E0
