"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.320046678E0,-6.475166976E-2,2.142608166E-1,-1.052978188E-1
1.336713344E0,-8.674279600E-2,1.696676910E-1,-2.099847607E-2
1.353380010E0,-6.047561392E-2,7.987056673E-2,8.040507883E-2
1.370046676E0,3.420842811E-2,1.145371422E-2,1.995237023E-1
1.386713342E0,1.295033395E-1,-1.406516135E-1,1.842520833E-1
1.403380008E0,1.288924664E-1,-1.632536054E-1,1.097265854E-1
1.420046674E0,4.214967042E-2,-1.137735620E-1,2.054032870E-2
1.436713340E0,-6.230820715E-2,-2.580903657E-2,-6.192641705E-2
1.453380006E0,-1.233946830E-1,3.955349326E-2,-6.436987966E-2
1.470046672E0,-9.101885557E-2,1.256854236E-1,-1.794415340E-2
1.486713338E0,-6.719512399E-3,1.018617004E-1,2.214384731E-3
1.503380004E0,8.429934084E-2,9.025526792E-2,2.787070535E-2
1.520046670E0,9.834922850E-2,3.512472380E-3,1.809686981E-2
1.536713336E0,4.214967042E-2,-2.397644334E-2,-2.283107117E-2
1.553380002E0,-3.176496923E-2,4.993819445E-2,-2.955058403E-2
1.570046668E0,-5.009091273E-2,4.016435891E-2,-3.382663801E-2
1.586713334E0,-3.726275265E-2,-6.261364091E-3,-1.122464053E-2
1.603380000E0,-1.832594350E-2,-2.947422490E-2,1.809686981E-2
1.620046666E0,-4.276053514E-3,-2.703076601E-2,3.092502989E-2
1.636713332E0,1.343902480E-2,-7.483093534E-3,2.970330045E-2
1.653379998E0,2.076940238E-2,6.566796452E-3,1.015562657E-2
1.670046664E0,1.221729536E-2,2.122755162E-2,-1.977674663E-2
1.686713330E0,-1.038470119E-2,2.794706449E-2,-4.726566374E-2
1.703379996E0,-1.221729536E-2,2.061668597E-2,-4.543306679E-2
1.720046662E0,-1.099556591E-2,4.581485991E-4,-3.138317913E-2
1.736713328E0,-1.282816008E-2,-2.153298259E-2,-1.061377581E-2
1.753379994E0,-1.221729536E-2,-2.641990222E-2,1.603520010E-3
1.770046660E0,-1.527161989E-2,-1.114828233E-2,-2.061668551E-3
1.786713326E0,-7.330377586E-3,1.023198478E-2,-3.382663801E-2
1.803379992E0,-4.886918236E-3,2.367101051E-2,-4.787652567E-2
1.820046658E0,-4.886918236E-3,2.367101051E-2,-4.787652567E-2
1.836713324E0,3.359756246E-2,-3.619373962E-2,-2.466366626E-2
1.853379990E0,5.192350596E-2,-4.291325063E-2,-2.283107117E-2
1.942826772E0,1.319467872E-1,1.806632578E-1,-7.780890167E-2
1.959493438E0,1.319467872E-1,1.806632578E-1,-7.780890167E-2
1.976160104E0,5.986474827E-2,2.356410921E-1,1.137735695E-2
1.992826770E0,5.558869615E-2,1.269071549E-1,2.825249685E-3
2.009493436E0,4.825831577E-2,1.695149764E-2,-8.170315996E-3
2.026160102E0,6.108647678E-3,-6.261364091E-3,-1.244636998E-2
2.042826768E0,-3.359756246E-2,4.199695215E-2,-2.344193682E-2
2.059493434E0,-6.414080411E-2,1.189659163E-1,-2.649625950E-2
2.076160100E0,-7.941242307E-2,1.702785641E-1,-2.649625950E-2
2.092826766E0,-4.948004708E-2,1.598938555E-1,-2.710712515E-2
2.109493432E0,6.108647794E-4,9.086613357E-2,-2.405280061E-2
2.126160098E0,2.626718581E-2,4.444041103E-2,-1.855501719E-2
2.142826764E0,1.466075517E-2,3.833176568E-2,-6.948587019E-3
2.159493430E0,1.710421406E-2,3.405570984E-2,-1.122464053E-2
2.176160096E0,1.832594350E-2,4.077522457E-2,-1.305723470E-2
2.192826762E0,2.443459118E-3,6.154462695E-2,3.436114406E-3
2.209493428E0,2.443459118E-3,8.231402934E-2,2.054032870E-2
2.226160094E0,-4.886918236E-3,1.049160287E-1,3.947713599E-2
2.242826760E0,-4.276053514E-3,9.819651395E-2,5.474875495E-2
2.259493426E0,-4.886918236E-3,6.398808211E-2,6.818778068E-2
2.276160092E0,-4.459312931E-2,7.070759684E-2,7.490729541E-2
2.292826758E0,-8.246674389E-2,1.012508348E-1,6.879864633E-2
2.309493424E0,-7.513637096E-2,1.061377525E-1,6.330086291E-2
2.326160090E0,-6.352993846E-2,9.880737960E-2,5.780307949E-2
2.342826756E0,-6.352993846E-2,1.140789986E-1,7.124210149E-2
2.359493422E0,-1.527161896E-1,1.543960720E-1,1.512653977E-1
2.376160088E0,-2.559523284E-1,2.038761228E-1,2.037997693E-1
2.392826754E0,-2.755000293E-1,1.916588247E-1,2.233474404E-1
2.409493420E0,-2.266308367E-1,1.440113783E-1,2.245691717E-1
2.426160086E0,-1.954767257E-1,1.232419685E-1,1.940259188E-1
2.442826752E0,-1.881463528E-1,1.379027218E-1,1.836412251E-1
2.459493418E0,-1.649334878E-1,1.452330947E-1,1.909715980E-1
2.476160084E0,-1.233946830E-1,1.366809905E-1,1.891390085E-1
2.492826750E0,-9.712749720E-2,1.128572673E-1,1.805869043E-1
2.509493416E0,-1.044578776E-1,8.659008145E-2,1.830303669E-1
2.526160082E0,-7.391463965E-2,8.170316368E-2,1.469893306E-1
2.542826748E0,-1.954767294E-2,7.864884287E-2,9.750928730E-2
2.559493414E0,2.626718581E-2,1.024725661E-1,6.330086291E-2
2.576160080E0,4.337139800E-2,1.269071549E-1,5.597048625E-2
2.592826746E0,4.459312931E-2,1.360701323E-1,5.291616172E-2
2.609493412E0,5.131264031E-2,9.208786488E-2,5.047270283E-2
2.626160078E0,4.886918142E-2,2.733619884E-2,4.741837829E-2
2.642826744E0,2.504545636E-2,8.399390616E-3,3.581194952E-2
2.659493410E0,9.162971750E-3,2.916879393E-2,3.581194952E-2
2.676160076E0,5.497782957E-3,5.299251899E-2,4.864010960E-2
2.692826742E0,3.665188793E-3,7.254019380E-2,7.063124329E-2
2.709493408E0,3.054323839E-3,6.276635826E-2,8.407026529E-2
2.726160074E0,-1.282816008E-2,5.787943676E-2,7.796161622E-2
