"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.491296822E0,2.843193769E0,7.775239468E0,2.622900724E0
1.507963488E0,2.895117283E0,7.821054459E0,1.701105714E0
1.524630154E0,2.895117283E0,7.821054459E0,1.701105714E0
1.541296820E0,1.006934285E0,4.488787174E0,6.345357895E-1
1.557963486E0,-5.684860349E-1,1.886503100E0,5.447386503E-1
1.574630152E0,-9.563851953E-1,-2.105956376E-1,1.379179955E0
1.591296818E0,-9.563851953E-1,-2.105956376E-1,1.379179955E0
1.607963484E0,-6.906589866E-1,-3.189172268E0,1.773798585E0
1.607963484E0,-6.906589866E-1,-3.189172268E0,1.773798585E0
1.641296816E0,-6.906589866E-1,-3.189172268E0,1.773798585E0
1.657963482E0,-1.509217739E0,-8.814015388E0,2.024253130E0
1.657963482E0,-1.509217739E0,-8.814015388E0,2.024253130E0
1.691296814E0,-1.971642375E0,-4.921584606E0,2.612515926E0
1.707963480E0,-1.971642375E0,-4.921584606E0,2.612515926E0
1.724630146E0,7.277690172E-1,8.394809365E-1,2.160934210E-1
1.741296812E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.757963478E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.774630144E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.791296810E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.807963476E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.824630142E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.841296808E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.857963474E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.874630140E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.891296806E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.907963472E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.924630138E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.941296804E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.957963470E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.974630136E0,9.837213755E-1,2.404516459E0,-5.334376693E-1
1.991296802E0,-1.062904745E-1,-2.869079113E0,3.105483949E-1
2.007963468E0,-1.062904745E-1,-2.869079113E0,3.105483949E-1
2.024630134E0,8.674279600E-2,-3.716959476E0,4.027889669E-1
2.041296800E0,-9.105703235E-1,-4.399524689E0,5.878809690E-1
2.057963466E0,-9.105703235E-1,-4.399524689E0,5.878809690E-1
2.074630132E0,-9.105703235E-1,-4.399524689E0,5.878809690E-1
2.091296798E0,-9.105703235E-1,-4.399524689E0,5.878809690E-1
2.107963464E0,-7.513636947E-1,-6.237998486E0,1.495015144E0
2.124630130E0,-9.563851953E-1,-7.139253139E0,1.082452416E0
2.141296796E0,-9.563851953E-1,-7.139253139E0,1.082452416E0
2.157963462E0,-9.563851953E-1,-7.139253139E0,1.082452416E0
2.174630128E0,-9.563851953E-1,-7.139253139E0,1.082452416E0
2.191296794E0,-1.495167851E0,-8.901369095E0,1.517388105E0
2.207963460E0,-1.495167851E0,-8.901369095E0,1.517388105E0
2.224630126E0,-1.632841587E0,-7.585566044E0,6.227002740E-1
2.241296792E0,-1.632841587E0,-7.585566044E0,6.227002740E-1
2.257963458E0,-1.632841587E0,-7.585566044E0,6.227002740E-1
2.274630124E0,-1.632841587E0,-7.585566044E0,6.227002740E-1
2.291296790E0,-1.632841587E0,-7.585566044E0,6.227002740E-1
2.307963456E0,2.131689072E0,-6.141252518E0,1.047480345E0
2.324630122E0,2.991175652E0,-5.417836189E0,7.544180155E-1
2.341296788E0,2.991175652E0,-5.417836189E0,7.544180155E-1
2.357963454E0,2.991175652E0,-5.417836189E0,7.544180155E-1
2.374630120E0,2.991175652E0,-5.417836189E0,7.544180155E-1
2.391296786E0,2.991175652E0,-5.417836189E0,7.544180155E-1
2.407963452E0,1.387655735E0,6.201804876E-1,-1.614210159E-1
2.424630118E0,1.154305339E0,4.440223277E-1,7.391463965E-2
2.441296784E0,1.154305339E0,4.440223277E-1,7.391463965E-2
2.457963450E0,1.154305339E0,4.440223277E-1,7.391463965E-2
2.474630116E0,1.154305339E0,4.440223277E-1,7.391463965E-2
2.491296782E0,1.154305339E0,4.440223277E-1,7.391463965E-2
2.507963448E0,1.154305339E0,4.440223277E-1,7.391463965E-2
2.524630114E0,8.869756460E-1,7.625119686E-1,-1.231656075E-1
2.541296780E0,3.504073024E-1,7.228057384E-1,-1.565340906E-2
2.557963446E0,3.504073024E-1,7.228057384E-1,-1.565340906E-2
2.574630112E0,3.504073024E-1,7.228057384E-1,-1.565340906E-2
2.591296778E0,-4.227184355E-1,5.988001823E-1,-1.521053314E-1
2.607963444E0,-9.032399058E-1,2.393826395E-1,3.054323839E-3
2.624630110E0,-1.219896913E0,-3.187187016E-1,2.299142331E-1
2.641296776E0,-1.204854369E0,-7.102830410E-1,2.785543501E-1
2.657963442E0,-1.204854369E0,-7.102830410E-1,2.785543501E-1
2.674630108E0,-1.204854369E0,-7.102830410E-1,2.785543501E-1
2.691296774E0,-1.204854369E0,-7.102830410E-1,2.785543501E-1
2.707963440E0,-6.990583539E-1,2.424445868E0,-2.296240807E0
2.724630106E0,-1.096273184E0,2.821508169E0,-1.920329809E0
2.741296772E0,-1.579467297E0,2.905807495E0,-1.518380761E0
2.757963438E0,-1.579467297E0,2.905807495E0,-1.518380761E0
