"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
5.007177600E-2,9.314440344E-1,2.667392194E-1,7.998906076E-2,2.342305481E-1,4.267791184E1,3.231216006E1,1.378309557E0,2.863031759E1
6.673771300E-2,9.264636579E-1,2.882475555E-1,7.792970538E-2,2.291405648E-1,4.421978548E1,3.474036532E1,7.047366333E-1,2.800459837E1
8.340365100E-2,9.243265554E-1,2.950109839E-1,6.754422188E-2,2.324364781E-1,4.486595317E1,3.522690202E1,-7.034260581E-1,2.800719147E1
1.000695880E-1,9.203059667E-1,2.947321534E-1,5.788444355E-2,2.506377399E-1,4.605829354E1,3.488905672E1,-2.361208809E0,2.972704606E1
1.167355260E-1,9.208257117E-1,2.868511379E-1,5.317286775E-2,2.587838471E-1,4.590580918E1,3.381488896E1,-2.896905183E0,3.051366772E1
1.334014630E-1,9.197535662E-1,2.750198543E-1,5.391707644E-2,2.747915685E-1,4.621983691E1,3.242922851E1,-2.978741345E0,3.240236149E1
1.500674010E-1,9.207627728E-1,2.632302046E-1,5.852104351E-2,2.819238603E-1,4.592429985E1,3.120961057E1,-2.329930632E0,3.339679572E1
1.667333380E-1,9.207323299E-1,2.544937730E-1,6.332986802E-2,2.889190614E-1,4.593324110E1,3.036254928E1,-1.744151793E0,3.436965312E1
1.833992760E-1,9.204354185E-1,2.500208020E-1,6.757212430E-2,2.927836180E-1,4.602035926E1,2.999637210E1,-1.261321610E0,3.495301571E1
2.000652130E-1,9.195750974E-1,2.469338030E-1,6.982282549E-2,2.975400984E-1,4.627191416E1,2.972143926E1,-1.061794710E0,3.557753109E1
2.167311510E-1,9.197513519E-1,2.447985560E-1,7.048460096E-2,2.986018062E-1,4.622048337E1,2.950296600E1,-9.475989594E-1,3.572304107E1
2.333970880E-1,9.191038997E-1,2.441503257E-1,6.993185729E-2,3.012443781E-1,4.640914442E1,2.940742591E1,-1.062814038E0,3.601511781E1
2.500630260E-1,9.185595715E-1,2.439788729E-1,6.763517857E-2,3.035590649E-1,4.656719734E1,2.930248357E1,-1.367786799E0,3.621703959E1
2.667289630E-1,9.174921801E-1,2.451814860E-1,6.565824151E-2,3.062403202E-1,4.687566734E1,2.936258366E1,-1.701193607E0,3.647019596E1
2.833949010E-1,9.174639560E-1,2.430902570E-1,6.291885674E-2,3.085583150E-1,4.688379793E1,2.902369339E1,-1.980735684E0,3.666455072E1
3.000608380E-1,9.187537269E-1,2.342121154E-1,6.239101663E-2,3.116787374E-1,4.651087994E1,2.800114718E1,-1.796741453E0,3.703003251E1
3.167267760E-1,9.203236731E-1,2.232957333E-1,6.511382759E-2,3.144893348E-1,4.605310663E1,2.687591588E1,-1.180185106E0,3.745024293E1
3.333927130E-1,9.220912717E-1,2.149956822E-1,6.726814806E-2,3.146419227E-1,4.553249570E1,2.603051421E1,-6.439359143E-1,3.753314974E1
3.500586510E-1,9.229311101E-1,2.097239494E-1,6.819129735E-2,3.155376017E-1,4.528315340E1,2.547799274E1,-3.712703415E-1,3.766578663E1
3.667245880E-1,9.229073976E-1,2.072192132E-1,6.823141873E-2,3.172484934E-1,4.529021130E1,2.520051644E1,-3.172715137E-1,3.786979270E1
3.833905260E-1,9.231665567E-1,2.021899670E-1,6.823626161E-2,3.197288513E-1,4.521301715E1,2.464195754E1,-1.893664756E-1,3.816459833E1
4.000564630E-1,9.218055525E-1,1.979283094E-1,6.584984064E-2,3.267456293E-1,4.561702953E1,2.407599598E1,-4.551007269E-1,3.893797950E1
4.167224010E-1,9.198044448E-1,1.959470510E-1,6.363888085E-2,3.339380622E-1,4.620498035E1,2.376630753E1,-7.905754127E-1,3.974083335E1
4.333883380E-1,9.173555046E-1,1.945310384E-1,6.049362570E-2,3.419898748E-1,4.691502750E1,2.347704719E1,-1.264446876E0,4.062813077E1
4.500542760E-1,9.143391212E-1,1.918122321E-1,5.513282865E-2,3.523526788E-1,4.777590566E1,2.294487566E1,-1.968549061E0,4.175009945E1
4.667202130E-1,9.103621594E-1,1.899525374E-1,4.757884890E-2,3.645476997E-1,4.888910531E1,2.239895992E1,-2.973011274E0,4.305775413E1
4.833861510E-1,9.057695484E-1,1.897949874E-1,3.970457613E-2,3.768062294E-1,5.014574292E1,2.200523589E1,-4.077484513E0,4.438218050E1
5.000520880E-1,9.005876207E-1,1.903459728E-1,3.207885846E-2,3.894628286E-1,5.152916965E1,2.167545299E1,-5.191550601E0,4.577799592E1
5.167180260E-1,8.951746304E-1,1.914265007E-1,2.528161556E-2,4.017201960E-1,5.293826133E1,2.141927314E1,-6.230978889E0,4.715788201E1
5.333839630E-1,8.900027520E-1,1.927002221E-1,1.874115691E-2,4.128080606E-1,5.425281461E1,2.118302040E1,-7.223321327E0,4.841393763E1
