"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.815305556E0,2.079362869E0,5.924628735E0,8.281558990E0
1.831972222E0,1.959721804E0,5.816951752E0,8.114061356E0
1.848638888E0,1.916650891E0,5.816951752E0,7.865208149E0
1.865305554E0,1.921436548E0,5.886343479E0,7.853243828E0
1.881972220E0,1.909472466E0,5.797809124E0,8.080561638E0
1.898638886E0,1.868794441E0,5.747560024E0,8.353343964E0
1.915305552E0,1.823330879E0,5.678168297E0,8.408378601E0
1.931972218E0,1.797009826E0,5.675775528E0,8.370093346E0
1.948638884E0,1.780260086E0,5.687739372E0,8.319844246E0
1.965305550E0,1.713261008E0,5.594419479E0,8.295916557E0
1.981972216E0,1.586441398E0,5.493920803E0,8.181060791E0
1.998638882E0,1.550549030E0,5.556134224E0,8.097311974E0
2.015305548E0,1.505085468E0,5.493920803E0,8.123632431E0
2.031972214E0,1.844866276E0,5.505885124E0,8.114061356E0
2.048638880E0,2.368894339E0,5.871986866E0,8.044670105E0
2.065305546E0,2.194218397E0,5.568098068E0,7.963313580E0
2.081972212E0,2.012363911E0,5.225924492E0,7.810173035E0
2.098638878E0,1.799402595E0,5.268995285E0,8.365307808E0
2.115305544E0,1.093519926E0,5.032105923E0,8.798408508E0
2.131972210E0,-1.818545163E-1,3.976871252E0,9.571290970E0
2.148638876E0,-9.355936646E-1,3.479164124E0,1.031785107E1
2.165305542E0,-1.256231904E0,3.574877024E0,1.030588722E1
2.181972208E0,3.589234129E-2,4.141975880E0,9.387042999E0
2.198638874E0,1.478764415E0,4.725824833E0,7.345965385E0
2.215305540E0,3.821337700E0,6.707081795E0,6.613761902E0
2.231972206E0,6.841079712E0,7.728816986E0,8.616554260E0
2.248638872E0,4.113262177E0,6.455835342E0,7.575676441E0
2.265305538E0,1.885544300E0,4.890929699E0,8.384450912E0
2.281972204E0,1.945364833E0,4.232903481E0,8.535198212E0
2.298638870E0,1.201196909E0,4.175475597E0,8.451449394E0
2.315305536E0,1.129412293E0,4.493721008E0,8.702695847E0
2.331972202E0,1.567298889E0,4.594219685E0,8.640482903E0
2.348638868E0,1.414158225E0,4.364508629E0,8.724231720E0
2.365305534E0,1.196411371E0,3.974478483E0,9.016156197E0
2.381972200E0,9.690931439E-1,3.859622955E0,9.154939651E0
2.398638866E0,1.691725612E0,4.091726780E0,8.965906143E0
2.415305532E0,2.196611166E0,4.687539577E0,8.214560509E0
2.431972198E0,2.026720762E0,4.481756687E0,8.937192917E0
2.448638864E0,1.818545222E0,3.967299938E0,9.796216011E0
2.465305530E0,1.450050473E0,3.651447296E0,9.985248566E0
2.481972196E0,1.253839016E0,3.632304668E0,1.027956581E1
2.498638862E0,1.351944804E0,3.802195072E0,9.583254814E0
2.515305528E0,1.993221283E0,4.132404804E0,9.095118523E0
2.531972194E0,2.206182480E0,4.230510235E0,9.384650230E0
2.548638860E0,1.806581140E0,3.811766386E0,9.767501831E0
2.565305526E0,1.488335729E0,3.711267948E0,9.961320877E0
2.581972192E0,1.552941918E0,3.653840065E0,9.688538551E0
2.598638858E0,1.332802176E0,3.689732552E0,9.334401131E0
2.615305524E0,1.253839016E0,3.419343472E0,9.193224907E0
2.631972190E0,2.120040894E0,3.684946775E0,8.944371223E0
2.648638856E0,2.268395901E0,4.053441525E0,9.468399048E0
2.665305522E0,1.770688772E0,3.529413462E0,9.767501831E0
2.681972188E0,9.595218897E-1,3.084348440E0,9.894321442E0
2.698638854E0,1.768295884E0,3.163311481E0,9.681360245E0
2.715305520E0,2.108076811E0,3.651447296E0,9.200403214E0
2.731972186E0,2.132004976E0,3.471985579E0,9.372686386E0
2.748638852E0,1.811366796E0,3.349951744E0,1.001874828E1
2.765305518E0,2.057827473E0,3.038884640E0,9.870393753E0
2.781972184E0,1.842473388E0,2.988635540E0,9.542576790E0
2.798638850E0,1.830509305E0,2.940778971E0,9.621540070E0
2.815305516E0,1.861616015E0,2.876172781E0,9.913464546E0
2.831972182E0,2.158325911E0,2.883351326E0,9.745966911E0
2.848638848E0,2.067398787E0,2.976671457E0,9.597611427E0
2.865305514E0,1.928615093E0,2.976671457E0,9.188439369E0
2.881972180E0,1.875972986E0,2.677568436E0,9.662218094E0
2.898638846E0,1.880758643E0,2.586641312E0,9.915857315E0
2.915305512E0,1.725225091E0,2.524427891E0,9.623932838E0
2.931972178E0,1.878365755E0,2.476571321E0,9.537791252E0
2.948638844E0,1.586441398E0,2.620140791E0,9.564111710E0
2.965305510E0,2.148754835E0,2.502892494E0,9.028120041E0
2.981972176E0,1.720439434E0,2.383251429E0,9.511469841E0
2.998638842E0,1.296909928E0,2.036292076E0,9.650253296E0
3.015305508E0,1.545763373E0,1.655833244E0,9.674181938E0
3.031972174E0,1.390229940E0,1.600798368E0,9.705288887E0
3.048638840E0,1.421336651E0,1.617548108E0,9.198010445E0
3.065305506E0,1.505085468E0,1.308874011E0,9.489934921E0
3.081972172E0,1.612762451E0,9.116654396E-1,9.549755096E0
3.098638838E0,1.663011789E0,5.359922647E-1,9.542576790E0
3.115305504E0,1.277767301E0,5.024927482E-2,9.104690552E0
3.131972170E0,1.667797327E0,-2.081755698E-1,8.882157326E0
3.148638836E0,1.246660590E0,-4.378865361E-1,9.037691116E0
3.165305502E0,1.574477315E0,-3.038884699E-1,9.427721024E0
3.181972168E0,1.773081541E0,-1.962114573E-1,9.956535339E0
3.198638834E0,1.698904037E0,-4.235295951E-1,1.005464077E1
3.215305500E0,2.397608280E0,-2.057827413E-1,1.022213840E1
3.231972166E0,2.084148407E0,-2.033899277E-1,1.075573826E1
3.248638832E0,1.859223247E0,-4.618147612E-1,1.093041420E1
3.265305498E0,1.962114573E0,-5.910272002E-1,1.077488041E1
3.281972164E0,1.718046665E0,-6.819544435E-1,1.105962658E1
3.298638830E0,2.014756680E0,-6.245267391E-1,1.110269737E1
3.315305496E0,2.318645239E0,-4.546363056E-1,1.062173939E1
3.331972162E0,2.311466694E0,-5.168496966E-1,1.057388306E1
3.348638828E0,2.538784742E0,-5.216353536E-1,1.058106136E1
3.365305494E0,2.199003935E0,-2.919243574E-1,1.086102200E1
3.381972160E0,2.196611166E0,-6.101697683E-1,1.121755219E1
3.398638826E0,2.096112728E0,-6.005984545E-1,1.148315620E1
3.415305492E0,2.167897224E0,-5.240281820E-1,1.138026428E1
3.431972158E0,2.024327993E0,-5.575276613E-1,1.102612686E1
3.448638824E0,1.914258122E0,-5.551348329E-1,1.078445148E1
3.465305490E0,1.811366796E0,-5.862415433E-1,1.082752228E1
3.481972156E0,1.667797327E0,-7.034898400E-1,1.088973618E1
3.498638822E0,1.629512191E0,-7.154539824E-1,1.098066330E1
3.515305488E0,1.593619823E0,-7.513462901E-1,1.093519974E1
3.531972154E0,1.469193101E0,-8.422735929E-1,1.068395329E1
3.548638820E0,1.363908887E0,-9.308080077E-1,1.024606609E1
3.565305486E0,1.404586911E0,-9.140582681E-1,1.034417248E1
3.581972152E0,1.416550994E0,-8.063812256E-1,1.044945621E1
3.598638818E0,1.375872970E0,-9.140582681E-1,1.049970531E1
3.615305484E0,1.361516118E0,-9.284151793E-1,1.061695385E1
3.631972150E0,1.442872047E0,-9.332008362E-1,1.046381378E1
3.648638816E0,1.483550072E0,-9.116654396E-1,1.018624592E1
3.665305482E0,1.569691658E0,-9.379864931E-1,1.029153061E1
3.681972148E0,1.483550072E0,-8.853443861E-1,1.021974564E1
3.698638814E0,2.115255117E0,-6.364908218E-1,1.023170948E1
3.715305480E0,2.074577332E0,-5.551348329E-1,1.038006496E1
3.731972146E0,2.304288149E0,-2.488535494E-1,1.085384369E1
3.748638812E0,2.376072884E0,-2.321037948E-1,1.081077290E1
3.765305478E0,2.447857618E0,-1.842473447E-1,1.099980545E1
3.781972144E0,7.202396393E-1,-1.170090318E0,6.644868374E0
3.798638810E0,3.996013701E-1,-1.533799291E0,8.465806961E0
3.815305476E0,7.561319470E-1,-1.050449133E0,9.071190834E0
3.831972142E0,2.244467735E0,1.938186288E-1,1.289252853E1
3.848638808E0,4.122833252E0,1.368694544E0,1.652483368E1
3.865305474E0,2.074577332E0,-4.187439680E-1,1.082752228E1
3.881972140E0,1.373480201E0,-5.431707501E-1,9.678967476E0
3.898638806E0,1.055234790E0,-4.833501875E-1,8.315058708E0
3.915305472E0,4.019941986E-1,-3.804588020E-1,6.936792850E0
3.931972138E0,1.579262912E-1,-1.339980662E-1,6.396014690E0
3.948638804E0,8.135597110E-1,2.344966233E-1,8.439485550E0
3.965305470E0,1.402194023E0,4.737788737E-1,9.980463028E0
3.981972136E0,1.588834286E0,5.527420044E-1,1.095912743E1
3.998638802E0,1.517049551E0,4.283152521E-1,1.110269737E1
4.015305468E0,1.337587833E0,2.129612118E-1,1.081316566E1
4.031972134E0,1.172483087E0,1.100698411E-1,1.053320503E1
4.048638800E0,9.260223508E-1,-5.503492057E-2,1.023649502E1
4.065305466E0,7.274180651E-1,-4.307080805E-2,1.001874828E1
