"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
7.210943100E-2,8.327870129E-1,2.624472678E-1,-2.127231508E-1,-4.385613799E-1,6.722778968E1,3.894464622E1,-7.129228526E0,-5.806784365E1
8.884323300E-2,8.308816686E-1,2.615664601E-1,-2.139807045E-1,-4.420756698E-1,6.762117303E1,3.895652574E1,-7.141543409E0,-5.855973540E1
1.055770350E-1,8.310582340E-1,2.615064383E-1,-2.160936743E-1,-4.407494962E-1,6.758480367E1,3.907811600E1,-7.391887968E0,-5.850470729E1
1.223108370E-1,8.320077764E-1,2.598824501E-1,-2.158864737E-1,-4.400195479E-1,6.738891802E1,3.888861634E1,-7.500320226E0,-5.839668176E1
1.390446910E-1,8.316894458E-1,2.562217414E-1,-2.163944989E-1,-4.425115883E-1,6.745464385E1,3.855461856E1,-7.653614531E0,-5.871197917E1
1.557784930E-1,8.317615312E-1,2.534545958E-1,-2.160477638E-1,-4.441361129E-1,6.743976530E1,3.825355984E1,-7.716048848E0,-5.888132697E1
1.725123470E-1,8.312192130E-1,2.514112890E-1,-2.160025239E-1,-4.463293552E-1,6.755162979E1,3.805277122E1,-7.739330955E0,-5.914024639E1
1.892462010E-1,8.305452798E-1,2.499297857E-1,-2.158957124E-1,-4.484625757E-1,6.769041554E1,3.790666209E1,-7.727049636E0,-5.939183889E1
2.059800030E-1,8.325993109E-1,2.500143945E-1,-2.140118182E-1,-4.454998672E-1,6.726663330E1,3.777047002E1,-7.678217395E0,-5.893000774E1
2.227138580E-1,8.330449920E-1,2.490900457E-1,-2.131510675E-1,-4.455971420E-1,6.717437034E1,3.761841577E1,-7.651150148E0,-5.889426463E1
2.394477120E-1,8.328364920E-1,2.475059927E-1,-2.131991982E-1,-4.468447864E-1,6.721754702E1,3.746507823E1,-7.696556106E0,-5.904360029E1
2.561815660E-1,8.326717010E-1,2.462193966E-1,-2.131555080E-1,-4.478823245E-1,6.725165502E1,3.733551591E1,-7.725226478E0,-5.916386648E1
2.729154200E-1,8.329252342E-1,2.456606477E-1,-2.127631903E-1,-4.479042590E-1,6.719917305E1,3.725174341E1,-7.722004258E0,-5.914426739E1
2.896493260E-1,8.325739046E-1,2.450878471E-1,-2.130521685E-1,-4.487331212E-1,6.727188943E1,3.721700503E1,-7.747360470E0,-5.925883653E1
3.063831810E-1,8.321502145E-1,2.445640862E-1,-2.134938985E-1,-4.495940208E-1,6.735949047E1,3.719772301E1,-7.782264392E0,-5.938534603E1
3.231170870E-1,8.321934535E-1,2.446857989E-1,-2.137920111E-1,-4.493060112E-1,6.735055509E1,3.722777637E1,-7.813847891E0,-5.936510916E1
3.398509410E-1,8.324571637E-1,2.449235022E-1,-2.144315094E-1,-4.483822882E-1,6.729603650E1,3.728748165E1,-7.895767259E0,-5.928371009E1
3.565848470E-1,8.317673337E-1,2.446554750E-1,-2.161782682E-1,-4.489696622E-1,6.743856754E1,3.737874016E1,-8.044042842E0,-5.944344952E1
3.733187530E-1,8.310806514E-1,2.443887889E-1,-2.181042582E-1,-4.494547844E-1,6.758018484E1,3.748180549E1,-8.212278346E0,-5.960019159E1
3.900526600E-1,8.306758299E-1,2.444332838E-1,-2.190869451E-1,-4.497009516E-1,6.766355042E1,3.755345975E1,-8.287290554E0,-5.968117471E1
4.067865660E-1,8.289141440E-1,2.442276627E-1,-2.204543203E-1,-4.523870945E-1,6.802528922E1,3.764442930E1,-8.308588273E0,-6.008423960E1
4.235204720E-1,8.274479755E-1,2.441092432E-1,-2.220499367E-1,-4.543504715E-1,6.832506211E1,3.775464609E1,-8.374761306E0,-6.041037735E1
4.402543780E-1,8.246386301E-1,2.436856776E-1,-2.247686833E-1,-4.583311677E-1,6.889625790E1,3.792645781E1,-8.472134778E0,-6.104608992E1
