"event","experiment time","system time","system time text"
"START",0.000000000E0,1774618369.138,"2026-03-27 21:32:49.138 UTC+08:00"
"PAUSE",1.098456120E3,1774619467.595,"2026-03-27 21:51:07.595 UTC+08:00"
