"event","experiment time","system time","system time text"
"START",0.000000000E0,1774624870.941,"2026-03-27 23:21:10.941 UTC+08:00"
"PAUSE",1.023780641E2,1774624973.319,"2026-03-27 23:22:53.319 UTC+08:00"
