"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
6.479428150E-1,9.468465265E-1,2.931141853E-1,-1.062726751E-1,-7.919500023E-2,3.752979263E1,3.537185552E1,-8.906442284E0,-1.240741852E1
6.646766690E-1,9.465606861E-1,2.945989370E-1,-1.051971838E-1,-7.853589207E-2,3.763148253E1,3.552551384E1,-8.793739558E0,-1.230793375E1
6.814104710E-1,9.462463582E-1,2.953663766E-1,-1.050595641E-1,-7.961796969E-2,3.774300219E1,3.562355370E1,-8.730761909E0,-1.242917106E1
6.981443260E-1,9.461375314E-1,2.961046696E-1,-1.045406386E-1,-7.884828001E-2,3.778153869E1,3.569701198E1,-8.692125007E0,-1.233137882E1
7.148781800E-1,9.459863754E-1,2.969503105E-1,-1.040403992E-1,-7.814016938E-2,3.783500155E1,3.578431594E1,-8.652084416E0,-1.224203125E1
7.316120340E-1,9.456984247E-1,2.974351943E-1,-1.042426825E-1,-7.950004935E-2,3.793664690E1,3.585659225E1,-8.619512088E0,-1.240397843E1
7.483458880E-1,9.453707095E-1,2.977992296E-1,-1.046445891E-1,-8.148220927E-2,3.805201076E1,3.592265441E1,-8.587821825E0,-1.264100162E1
7.650797420E-1,9.451117914E-1,2.983074486E-1,-1.047837958E-1,-8.244224638E-2,3.814291870E1,3.599357760E1,-8.561941304E0,-1.275665248E1
7.818135960E-1,9.447627650E-1,2.985002995E-1,-1.054359153E-1,-8.487730473E-2,3.826513519E1,3.604718300E1,-8.543025172E0,-1.305161948E1
7.985474510E-1,9.445418108E-1,2.985161245E-1,-1.058508754E-1,-8.674377948E-2,3.834231156E1,3.607083548E1,-8.521024728E0,-1.327334855E1
8.152813050E-1,9.446995005E-1,2.979515493E-1,-1.055066958E-1,-8.738458157E-2,3.828724793E1,3.600090026E1,-8.468839095E0,-1.332588292E1
8.320151590E-1,9.450836233E-1,2.961792052E-1,-1.060611606E-1,-8.857682347E-2,3.815279615E1,3.580728373E1,-8.511279221E0,-1.346287620E1
8.487490130E-1,9.454640873E-1,2.942287624E-1,-1.070084348E-1,-8.986818045E-2,3.801917381E1,3.560103169E1,-8.595730111E0,-1.362404579E1
8.654828670E-1,9.459377251E-1,2.927313149E-1,-1.071577296E-1,-8.959586173E-2,3.785219333E1,3.542203561E1,-8.642808430E0,-1.358623454E1
8.822167210E-1,9.465044611E-1,2.914299965E-1,-1.067993417E-1,-8.827096224E-2,3.765145383E1,3.524873649E1,-8.668798475E0,-1.341467743E1
8.989505760E-1,9.470714644E-1,2.904346287E-1,-1.059113666E-1,-8.652254194E-2,3.744958216E1,3.509881912E1,-8.647382900E0,-1.317926475E1
9.156844300E-1,9.476483118E-1,2.896541059E-1,-1.046169400E-1,-8.437103778E-2,3.724312323E1,3.496427870E1,-8.592348407E0,-1.288627789E1
9.324182840E-1,9.481282291E-1,2.891677916E-1,-1.035040990E-1,-8.198628575E-2,3.707051146E1,3.486726068E1,-8.560562309E0,-1.257709584E1
9.491521380E-1,9.485798945E-1,2.885899246E-1,-1.029241607E-1,-7.948997617E-2,3.690734966E1,3.476855456E1,-8.591205034E0,-1.227455226E1
9.658859920E-1,9.491154500E-1,2.875379920E-1,-1.028892770E-1,-7.691269368E-2,3.671297623E1,3.462214475E1,-8.689343227E0,-1.197878263E1
9.826198990E-1,9.498047178E-1,2.859122455E-1,-1.031258926E-1,-7.409612834E-2,3.646134261E1,3.440950268E1,-8.831489427E0,-1.166095355E1
9.993537530E-1,9.506344762E-1,2.841425538E-1,-1.027579531E-1,-7.069586217E-2,3.615617599E1,3.416406571E1,-8.928111596E0,-1.125479503E1
1.016087607E0,9.515784190E-1,2.825767100E-1,-1.011598930E-1,-6.644991785E-2,3.580595916E1,3.391570443E1,-8.914983496E0,-1.071250295E1
1.032821461E0,9.526740664E-1,2.810545862E-1,-9.829016030E-2,-6.131465733E-2,3.539525629E1,3.364650405E1,-8.789889064E0,-1.002748369E1
1.049555315E0,9.538887052E-1,2.796044648E-1,-9.400383383E-2,-5.550640076E-2,3.493448921E1,3.336286979E1,-8.528347499E0,-9.220444057E0
1.066289169E0,9.548532990E-1,2.790277302E-1,-8.906726539E-2,-4.965607077E-2,3.456433807E1,3.318076989E1,-8.185677083E0,-8.396388951E0
1.083023076E0,9.553698106E-1,2.796024382E-1,-8.444282413E-2,-4.427652806E-2,3.436454453E1,3.315119655E1,-7.850490936E0,-7.646968291E0
1.099756930E0,9.553588519E-1,2.814453542E-1,-8.086529374E-2,-3.922729939E-2,3.436879522E1,3.329444362E1,-7.610039194E0,-6.981052721E0
1.116490784E0,9.548366257E-1,2.844525874E-1,-7.864611596E-2,-3.447509557E-2,3.457076888E1,3.359864943E1,-7.502839327E0,-6.403708504E0
1.133224638E0,9.552025917E-1,2.841804028E-1,-7.613836974E-2,-3.213185444E-2,3.442935008E1,3.352345022E1,-7.307396216E0,-6.056891921E0
1.149958492E0,9.582045434E-1,2.759095728E-1,-6.831420213E-2,-3.242114186E-2,3.324731031E1,3.245411522E1,-6.489858712E0,-5.766414293E0
1.166692399E0,9.615663480E-1,2.660979331E-1,-6.015546992E-2,-3.103816696E-2,3.187310099E1,3.120016118E1,-5.691294886E0,-5.287841782E0
