,precision,recall,f1-score,support
RUNNING,1.0,1.0,1.0,15.0
CYCLING,0.625,1.0,0.7692,15.0
UPSTAIRS,0.6923,0.6,0.6429,15.0
DOWNSTAIRS,0.55,0.7333,0.6286,15.0
JUMPROPE,0.0,0.0,0.0,13.0
accuracy,0.6849,0.6849,0.6849,0.6849
macro avg,0.5735,0.6667,0.6081,73.0
weighted avg,0.5892,0.6849,0.6248,73.0
