,precision,recall,f1-score,support
RUNNING,1.0,1.0,1.0,15.0
CYCLING,0.6818,1.0,0.8108,15.0
UPSTAIRS,0.6667,0.6667,0.6667,15.0
DOWNSTAIRS,0.5714,0.8,0.6667,15.0
JUMPROPE,0.0,0.0,0.0,13.0
accuracy,0.7123,0.7123,0.7123,0.7123
macro avg,0.584,0.6933,0.6288,73.0
weighted avg,0.6,0.7123,0.6461,73.0
