,precision,recall,f1-score,support
RUNNING,1.0,1.0,1.0,15.0
CYCLING,0.3684,0.4667,0.4118,15.0
UPSTAIRS,0.3125,0.3333,0.3226,15.0
DOWNSTAIRS,0.45,0.6,0.5143,15.0
JUMPROPE,0.0,0.0,0.0,13.0
accuracy,0.4932,0.4932,0.4932,0.4932
macro avg,0.4262,0.48,0.4497,73.0
weighted avg,0.4379,0.4932,0.462,73.0
