,precision,recall,f1-score,support
WALKING,0.9368,0.9859,0.9607,496.0
WALKING_UPSTAIRS,0.9301,0.9321,0.9311,471.0
WALKING_DOWNSTAIRS,0.9772,0.9167,0.9459,420.0
SITTING,0.9442,0.8615,0.901,491.0
STANDING,0.885,0.9549,0.9186,532.0
LAYING,1.0,1.0,1.0,537.0
accuracy,0.9437,0.9437,0.9437,0.9437
macro avg,0.9455,0.9418,0.9429,2947.0
weighted avg,0.9449,0.9437,0.9435,2947.0
