,precision,recall,f1-score,support
WALKING,0.9421,0.9839,0.9625,496.0
WALKING_UPSTAIRS,0.9318,0.9575,0.9445,471.0
WALKING_DOWNSTAIRS,0.9922,0.9143,0.9517,420.0
SITTING,0.9379,0.8921,0.9144,491.0
STANDING,0.9079,0.9455,0.9263,532.0
LAYING,1.0,1.0,1.0,537.0
accuracy,0.9505,0.9505,0.9505,0.9505
macro avg,0.952,0.9489,0.9499,2947.0
weighted avg,0.9513,0.9505,0.9504,2947.0
