,precision,recall,f1-score,support
RUNNING,1.0,1.0,1.0,15.0
CYCLING,0.625,1.0,0.7692,15.0
UPSTAIRS,0.6667,0.5333,0.5926,15.0
DOWNSTAIRS,0.5455,0.8,0.6486,15.0
JUMPROPE,0.0,0.0,0.0,13.0
accuracy,0.6849,0.6849,0.6849,0.6849
macro avg,0.5674,0.6667,0.6021,73.0
weighted avg,0.583,0.6849,0.6186,73.0
