,precision,recall,f1-score,support
RUNNING,1.0,1.0,1.0,15.0
CYCLING,0.6522,1.0,0.7895,15.0
UPSTAIRS,0.7333,0.7333,0.7333,15.0
DOWNSTAIRS,0.5556,0.6667,0.6061,15.0
JUMPROPE,0.5,0.0769,0.1333,13.0
accuracy,0.7123,0.7123,0.7123,0.7123
macro avg,0.6882,0.6954,0.6524,73.0
weighted avg,0.6934,0.7123,0.6667,73.0
