,precision,recall,f1-score,support
RUNNING,1.0,1.0,1.0,15.0
CYCLING,0.625,1.0,0.7692,15.0
UPSTAIRS,0.7692,0.6667,0.7143,15.0
DOWNSTAIRS,0.5238,0.7333,0.6111,15.0
JUMPROPE,0.0,0.0,0.0,13.0
accuracy,0.6986,0.6986,0.6986,0.6986
macro avg,0.5836,0.68,0.6189,73.0
weighted avg,0.5996,0.6986,0.6359,73.0
