,precision,recall,f1-score,support
WALKING,0.884,0.9677,0.924,496.0
WALKING_UPSTAIRS,0.8947,0.9023,0.8985,471.0
WALKING_DOWNSTAIRS,0.9593,0.8429,0.8973,420.0
SITTING,0.9204,0.8717,0.8954,491.0
STANDING,0.8871,0.9305,0.9083,532.0
LAYING,1.0,1.0,1.0,537.0
accuracy,0.9226,0.9226,0.9226,0.9226
macro avg,0.9243,0.9192,0.9206,2947.0
weighted avg,0.9242,0.9226,0.9224,2947.0
