,precision,recall,f1-score,support
WALKING,0.8551,0.9758,0.9115,496.0
WALKING_UPSTAIRS,0.8938,0.8938,0.8938,471.0
WALKING_DOWNSTAIRS,0.9377,0.7881,0.8564,420.0
SITTING,0.9087,0.7902,0.8453,491.0
STANDING,0.8305,0.9305,0.8777,532.0
LAYING,1.0,0.9944,0.9972,537.0
accuracy,0.9002,0.9002,0.9002,0.9002
macro avg,0.9043,0.8955,0.897,2947.0
weighted avg,0.904,0.9002,0.8993,2947.0
