,precision,recall,f1-score,support
RUNNING,1.0,1.0,1.0,15.0
CYCLING,0.3333,0.2,0.25,15.0
UPSTAIRS,0.375,0.6,0.4615,15.0
DOWNSTAIRS,0.4,0.5333,0.4571,15.0
JUMPROPE,0.0,0.0,0.0,13.0
accuracy,0.4795,0.4795,0.4795,0.4795
macro avg,0.4217,0.4667,0.4337,73.0
weighted avg,0.4332,0.4795,0.4456,73.0
