"event","experiment time","system time","system time text"
"START",0.000000000E0,1774615521.933,"2026-03-27 20:45:21.933 UTC+08:00"
"PAUSE",1.093042494E2,1774615631.238,"2026-03-27 20:47:11.238 UTC+08:00"
