"event","experiment time","system time","system time text"
"START",0.000000000E0,1774619543.988,"2026-03-27 21:52:23.988 UTC+08:00"
"PAUSE",1.370262710E2,1774619681.015,"2026-03-27 21:54:41.015 UTC+08:00"
