"event","experiment time","system time","system time text"
"START",0.000000000E0,1774617507.172,"2026-03-27 21:18:27.172 UTC+08:00"
"PAUSE",7.759190721E1,1774617584.763,"2026-03-27 21:19:44.763 UTC+08:00"
