"event","experiment time","system time","system time text"
"START",0.000000000E0,1774612615.787,"2026-03-27 19:56:55.787 UTC+08:00"
"PAUSE",2.689956225E2,1774612884.783,"2026-03-27 20:01:24.783 UTC+08:00"
