"event","experiment time","system time","system time text"
"START",0.000000000E0,1774606331.161,"2026-03-27 18:12:11.161 UTC+08:00"
"PAUSE",5.157116047E2,1774606846.872,"2026-03-27 18:20:46.872 UTC+08:00"
