"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
6.310122450E-1,9.437441398E-1,-5.188736320E-2,-2.295781076E-1,-2.322683632E-1,3.861969218E1,5.612539679E-1,-2.722136653E1,-2.778885787E1
6.476781820E-1,9.505275174E-1,-5.817433447E-2,-2.196843773E-1,-2.117828131E-1,3.619565263E1,-1.120705098E0,-2.624898104E1,-2.485999799E1
6.643441200E-1,9.571192143E-1,-6.326815486E-2,-2.107678801E-1,-1.884060800E-1,3.367931479E1,-2.642967889E0,-2.529634476E1,-2.167904161E1
6.810100570E-1,9.621413101E-1,-7.685516775E-2,-2.015881240E-1,-1.665521264E-1,3.163225685E1,-5.087561365E0,-2.442572717E1,-1.853994530E1
6.976759950E-1,9.630520711E-1,-1.028961465E-1,-2.049305588E-1,-1.412322819E-1,3.124704960E1,-8.911009695E0,-2.507359948E1,-1.470066059E1
7.143419320E-1,9.594588212E-1,-1.379577965E-1,-2.179489881E-1,-1.135986596E-1,3.274116098E1,-1.394161178E1,-2.671608611E1,-1.017854907E1
7.310078700E-1,9.515415879E-1,-1.808202714E-1,-2.358903289E-1,-7.892014086E-2,3.581968610E1,-2.044236875E1,-2.851961805E1,-4.234855405E0
7.476738070E-1,9.465438091E-1,-2.137905806E-1,-2.377984673E-1,-4.242987186E-2,3.763747837E1,-2.579938302E1,-2.792501055E1,1.384909218E0
7.643397450E-1,9.416950346E-1,-2.428346723E-1,-2.327159196E-1,-9.224122390E-3,3.932361623E1,-3.035057372E1,-2.628105400E1,6.123811073E0
7.810056820E-1,9.316807287E-1,-2.804119289E-1,-2.293571830E-1,2.711922862E-2,4.260331187E1,-3.595434793E1,-2.434098646E1,1.134063980E1
7.976716200E-1,9.184696294E-1,-3.198930323E-1,-2.215377539E-1,7.073196769E-2,4.659326445E1,-4.159904601E1,-2.120451701E1,1.694154959E1
8.143375570E-1,9.004853211E-1,-3.617155254E-1,-2.086368352E-1,1.214855388E-1,5.155613192E1,-4.715241652E1,-1.673002447E1,2.271004770E1
8.310034950E-1,8.771040505E-1,-4.036448002E-1,-1.930839717E-1,1.745793223E-1,5.741004831E1,-5.229032973E1,-1.140678341E1,2.812748840E1
8.476694320E-1,8.489096485E-1,-4.449002743E-1,-1.742344201E-1,2.259613276E-1,6.381345189E1,-5.691596940E1,-5.437394126E0,3.275924704E1
8.643353700E-1,8.174502560E-1,-4.855181873E-1,-1.506465077E-1,2.708372176E-1,7.033927376E1,-6.110389728E1,9.569262433E-1,3.609723131E1
9.365545880E-1,7.101443193E-1,-6.114684939E-1,-7.765252888E-2,3.402519822E-1,8.950668248E1,-7.539005007E1,1.780736724E1,3.739573252E1
9.532205780E-1,6.824325938E-1,-6.373172998E-1,-6.567154825E-2,3.518517613E-1,9.393194359E1,-7.894198991E1,2.102956399E1,3.716975222E1
9.698865670E-1,6.544455237E-1,-6.618441939E-1,-6.311970204E-2,3.601100147E-1,9.824476002E1,-8.275197285E1,2.320715159E1,3.713873690E1
9.865525570E-1,6.265602106E-1,-6.818579435E-1,-7.149670273E-2,3.706484437E-1,1.024064108E2,-8.622243327E1,2.457381363E1,3.816565388E1
1.003218547E0,6.026437779E-1,-6.982833147E-1,-8.220566809E-2,3.774428666E-1,1.058810403E2,-8.928452595E1,2.534340535E1,3.907992585E1
1.019884536E0,5.812709119E-1,-7.137486935E-1,-9.143868834E-2,3.799024820E-1,1.089200369E2,-9.226687721E1,2.584948373E1,3.947914150E1
1.036550526E0,5.614900625E-1,-7.279459834E-1,-9.805905819E-2,3.810616434E-1,1.116821835E2,-9.506272462E1,2.640198509E1,3.957922350E1
1.053216515E0,5.427127015E-1,-7.389798760E-1,-1.029114723E-1,3.857212663E-1,1.142630084E2,-9.732823685E1,2.728247810E1,3.995695901E1
1.069882505E0,5.260299867E-1,-7.475098372E-1,-1.063303128E-1,3.914273381E-1,1.165247853E2,-9.915498922E1,2.825039275E1,4.038720925E1
1.086548495E0,5.126432666E-1,-7.538759708E-1,-1.103818342E-1,3.958329856E-1,1.183198853E2,-1.006013460E2,2.892373095E1,4.083070027E1
1.103214484E0,5.021264492E-1,-7.589547634E-1,-1.167170033E-1,3.977861702E-1,1.197184305E2,-1.018413021E2,2.911669937E1,4.130403490E1
1.119880474E0,4.937880181E-1,-7.635794282E-1,-1.231333762E-1,3.974393308E-1,1.208202748E2,-1.029832859E2,2.903536814E1,4.160540176E1
1.136546463E0,4.872667137E-1,-7.692066431E-1,-1.232051328E-1,3.946045935E-1,1.216778233E2,-1.041637614E2,2.914342162E1,4.109495138E1
1.153212453E0,4.917910127E-1,-7.669254541E-1,-1.149350703E-1,3.959253430E-1,1.210832645E2,-1.034884608E2,2.961980427E1,4.059866076E1
1.169878442E0,4.860981163E-1,-7.646758556E-1,-1.136849895E-1,4.074986875E-1,1.218311138E2,-1.031486029E2,3.084282208E1,4.160011338E1
1.186544432E0,4.816079135E-1,-7.596051097E-1,-1.198301241E-1,4.203506112E-1,1.224190597E2,-1.023804493E2,3.154571310E1,4.352817293E1
1.203210422E0,4.784472744E-1,-7.539912462E-1,-1.300903857E-1,4.308850169E-1,1.228319198E2,-1.015828178E2,3.168738287E1,4.565021910E1
1.219876411E0,4.733936194E-1,-7.492184639E-1,-1.424569339E-1,4.407677352E-1,1.234903796E2,-1.010628291E2,3.170771730E1,4.785453660E1
1.236542401E0,4.647124271E-1,-7.471307516E-1,-1.534757614E-1,4.497590363E-1,1.246167752E2,-1.011130521E2,3.196583098E1,4.973445125E1
1.253208390E0,4.536846414E-1,-7.490440011E-1,-1.608906537E-1,4.552115202E-1,1.260393327E2,-1.018874381E2,3.240901796E1,5.078189942E1
1.269874380E0,4.422758322E-1,-7.526873350E-1,-1.654257476E-1,4.587899148E-1,1.275016428E2,-1.029370495E2,3.297841853E1,5.131825117E1
1.286540370E0,4.311590173E-1,-7.566800714E-1,-1.694412827E-1,4.613315761E-1,1.289177264E2,-1.040589846E2,3.350766560E1,5.168717290E1
1.303206359E0,4.208112199E-1,-7.564964890E-1,-1.724592298E-1,4.699880779E-1,1.302283724E2,-1.043302184E2,3.446780778E1,5.277558842E1
1.319872349E0,4.101146931E-1,-7.528728843E-1,-1.664365530E-1,4.871213734E-1,1.315759203E2,-1.036286986E2,3.665282499E1,5.413562496E1
1.336538338E0,4.090664290E-1,-7.491832972E-1,-1.528500617E-1,4.980219901E-1,1.317075944E2,-1.024744382E2,3.840146770E1,5.430776305E1
1.353204328E0,4.109389434E-1,-7.497402430E-1,-1.339654773E-1,5.010708570E-1,1.314723372E2,-1.020439578E2,3.988454770E1,5.298439538E1
1.369870317E0,4.119062735E-1,-7.515383363E-1,-1.158381253E-1,5.021004677E-1,1.313507194E2,-1.020098125E2,4.124396344E1,5.141438551E1
1.386536307E0,4.101603875E-1,-7.524460554E-1,-1.006108075E-1,5.054412484E-1,1.315701790E2,-1.019830000E2,4.269545821E1,5.036693195E1
1.403202297E0,4.071991537E-1,-7.518288493E-1,-8.790756017E-2,5.110914707E-1,1.319419779E2,-1.017423493E2,4.418000360E1,4.988121996E1
1.419868286E0,4.072535261E-1,-7.492298484E-1,-7.550752908E-2,5.168150663E-1,1.319351560E2,-1.010241873E2,4.547341330E1,4.960923708E1
1.436534276E0,4.088829592E-1,-7.424665093E-1,-6.408290565E-2,5.267367363E-1,1.317306333E2,-9.932020044E1,4.686660928E1,5.028272860E1
1.453200265E0,4.123171200E-1,-7.299926281E-1,-5.069683865E-2,5.427109599E-1,1.312990480E2,-9.616080609E1,4.863749257E1,5.211573237E1
1.469866255E0,4.190663801E-1,-7.133623958E-1,-2.990146726E-2,5.608951449E-1,1.304486836E2,-9.177428682E1,5.082150081E1,5.425982270E1
1.486532245E0,4.280011685E-1,-6.954724789E-1,-4.225007724E-3,5.771613121E-1,1.293184480E2,-8.689100319E1,5.305215531E1,5.627436289E1
1.503198234E0,4.355268720E-1,-6.758970022E-1,2.121453546E-2,5.941628814E-1,1.283623514E2,-8.138011694E1,5.525179766E1,5.906048637E1
1.519864224E0,4.420273439E-1,-6.527789235E-1,4.312313348E-2,6.137034297E-1,1.275333893E2,-7.463437718E1,5.707139051E1,6.344502041E1
1.536530213E0,4.465443037E-1,-6.264653206E-1,6.261917949E-2,6.357815862E-1,1.269556295E2,-6.664184523E1,5.848624529E1,6.942196006E1
1.553196203E0,4.504636288E-1,-5.965705514E-1,8.439518511E-2,6.588349938E-1,1.264531324E2,-5.727079439E1,5.955512082E1,7.657686610E1
1.569862192E0,4.534036104E-1,-5.653653145E-1,1.132164448E-1,6.796832085E-1,1.260754667E2,-4.695515692E1,6.059886793E1,8.410439597E1
1.586528182E0,4.525641523E-1,-5.368173122E-1,1.498889625E-1,6.960934997E-1,1.261833666E2,-3.620327538E1,6.200869471E1,9.171248677E1
1.603194172E0,4.459464578E-1,-5.137093067E-1,1.883560121E-1,7.083477378E-1,1.270321824E2,-2.549352911E1,6.360660913E1,9.964379292E1
