time,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z
0 days 00:00:00.049293179,1.9058832126666667,4.764508882833333,9.289336204166666,-0.05566505343,0.04894553869999999,0.05146535859
0 days 00:00:00.069293179,1.81435775725,4.7754758595,8.763114929,0.09827287311749999,0.0938441027,0.0423023849775
0 days 00:00:00.089293179,1.83948242675,4.8269213437500005,8.611768722250002,0.11430807415,0.140880692775,0.0511599238975
0 days 00:00:00.109293179,1.79820621,4.893322229,8.653643131499999,0.0440077171735,0.2266053756166667,0.04881827595
0 days 00:00:00.129293179,1.6923238037500001,4.8430731295000005,8.7762749195,0.01076649199325,0.282143160725,0.021227550750749998
0 days 00:00:00.149293179,1.6542380450000003,4.762115796500001,8.6703925135,0.022525639275,0.31864233315,-0.0099265527685
0 days 00:00:00.169293179,1.588834196,4.691727042,8.7176508905,0.04436405375500001,0.306119620825,-0.022296564185
0 days 00:00:00.189293179,1.55114725225,4.6528435945,8.704490899749999,0.10514510147,0.24869833142500003,-0.017715077845
0 days 00:00:00.209293179,1.5074782375,4.7198426725000004,8.601000785499998,0.21057017891666666,0.12499820689166667,-0.014508038605
0 days 00:00:00.229293179,1.49790698275,4.7868417505,8.567501306499999,0.270842179675,0.015042545740000001,-0.013591741444249999
0 days 00:00:00.249293179,1.5676976445,4.860221545000001,8.694320837833333,0.24976733325,0.008628465234999999,-0.0148134706535
0 days 00:00:00.269293179,1.5092728735,4.909473896,8.736195564500001,0.20211988684999999,0.06039925432,-0.023823726455
0 days 00:00:00.289293179,1.4943177104999998,4.896911502,8.751150369249999,0.16317725555,0.095982130635,-0.013897173572500001
0 days 00:00:00.309293179,1.6079768535,4.957928419000001,8.7050886155,0.14296781518333335,0.10870847854166667,-0.011351903589666666
0 days 00:00:00.329293179,1.60498583325,4.939982175500001,8.6751787665,0.1323285792,0.0817795228225,-0.036804601547499996
0 days 00:00:00.349293179,1.376670639,4.913262367333334,8.944769700333334,0.12240202724999999,0.007101302035000001,-0.04902189784
0 days 00:00:00.369293179,1.14496558925,4.829912423750001,9.111270428000001,0.13858994279999998,-0.0336739211375,-0.021838416115000002
0 days 00:00:00.389293179,1.1240283847499999,4.80837702725,9.046066045749999,0.1891390048,-0.04482220393,0.007177660937500001
0 days 00:00:00.409293179,1.2287144065,4.89930439,8.8857469555,0.2781725501,-0.06508255066833334,0.033852089196666664
0 days 00:00:00.429293179,1.279561877,5.018945694,8.75414180725,0.35056001692500005,-0.1106428820575,0.040927941915
0 days 00:00:00.449293179,1.2490534581666666,4.989434163,8.668398539333333,0.418671459,-0.1572213247,0.046273007990000004
0 days 00:00:00.469293179,1.2675978245000001,5.117649555,8.5178501605,0.49548769740000004,-0.176310852175,0.0919351484425
0 days 00:00:00.489293179,1.4590235950000001,5.3156555894999995,8.237890243750002,0.522518441075,-0.177838008875,0.117438754025
0 days 00:00:00.509293179,1.659422517,5.5082776550000005,7.972884893500001,0.4819977531666666,-0.14887283371666668,0.12090032298333335
0 days 00:00:00.529293179,1.8203398587500002,5.614758253,7.92143917075,0.41439539194999997,-0.081779524685,0.1007926873875
0 days 00:00:00.549293179,1.8392830095000001,5.599204858499999,7.896314620666668,0.3643044829,-0.010002911555,0.05818487145
0 days 00:00:00.569293179,1.840080619,5.51306343125,7.93280529975,0.32749987395,0.0686459296825,0.02886336111
0 days 00:00:00.589293179,1.8137595355,5.458028436,7.8388870955000005,0.303217999675,0.1308014169,0.019089524635
0 days 00:00:00.609293179,1.773081541,5.510670662,7.671389341499999,0.2685005267833333,0.20267984519999996,0.017460551886666665
0 days 00:00:00.629293179,1.68933281275,5.60279428975,7.41954469675,0.21662792565,0.247171156125,0.01313359267
0 days 00:00:00.649293179,1.4951153596666664,5.571687459833334,7.345168034499999,0.1541669965,0.20044000445,0.01267544413
0 days 00:00:00.669293179,1.46560388825,5.489733219250001,7.52482903025,0.1068249754625,0.121638450775,0.033292129870000006
0 days 00:00:00.689293179,1.56071856625,5.53998267675,7.6959156987499995,0.092927804215,0.104228803875,0.043982263655000006
0 days 00:00:00.709293179,1.4883356690000002,5.6602220535,7.6737823485000005,0.08687006185666667,0.09425134584,0.04484765666166666
0 days 00:00:00.729293179,1.46620208025,5.6961141825,7.7988071439999995,0.0732274167225,0.072921983895,0.0458148578175
0 days 00:00:00.749293179,1.4967105788333335,5.765904744833333,7.771489143499999,0.07444914430499999,0.07429642975,0.04169152304999999
0 days 00:00:00.769293179,1.59003064075,5.87079024325,7.7383884192500005,0.046807514504999995,0.0678823497125,0.033902994359999994
0 days 00:00:00.789293179,1.48355004225,5.866602897250001,7.6295150519999995,0.010155627169475,0.0607046885375,0.018020510439999998
0 days 00:00:00.809293179,1.0648061038999999,5.6195437905,7.398607492499999,-0.10147990998511668,0.05454513290666666,0.06775508401833333
0 days 00:00:00.829293179,1.36929273595,5.4406803845,7.7796645165000005,-0.18547382205000001,0.0089338973474,0.164933487775
0 days 00:00:00.849293179,1.4189438025,5.481956561333334,8.081359863333333,-0.1585957706,0.014431680524800003,0.1409570426
0 days 00:00:00.869293179,1.3866407277500001,5.307878970999999,8.271987915250001,-0.112475479,0.055665052027499995,0.1572976746
0 days 00:00:00.889293179,1.4039886595,5.167898654749999,8.37188839925,-0.0610101195025,0.1248454898275,0.179746955675
0 days 00:00:00.909293179,1.3543375734999998,5.237888813,8.1523468495,-0.019114976751666665,0.19310962656666666,0.21812962989999998
0 days 00:00:00.929293179,1.315454215,5.2307103875,7.75154912475,-0.018860450015000002,0.18089233335,0.2590066716
0 days 00:00:00.949293179,1.2382857003333334,5.1341997783333335,7.580063263499999,-0.06757691689,0.10147991402999999,0.30558510125
0 days 00:00:00.969293179,1.1347961725,5.054239630500001,7.8741811515,-0.120416721345,0.025274529585,0.36957319082499995
0 days 00:00:00.989293179,0.98285190735,5.07218587425,8.30728244775,-0.113544492025,0.057192216157499996,0.43417213855
0 days 00:00:01.009293179,0.8602197468,5.254638433499999,8.579465866,-0.09506583213333332,0.22691081591499998,0.5223402926999999
0 days 00:00:01.029293179,1.0965110065500001,5.66500759125,9.09571742975,-0.117209682275,0.459599383175,0.5858193039999999
0 days 00:00:01.049293179,1.3515459893333333,5.945366779833333,9.356335639666666,-0.09017891438999999,0.6940187513500001,0.5566505194000001
0 days 00:00:01.069293179,1.3447662889999998,5.977869152999999,9.276973008750002,0.04726566374,0.71768973765,0.480292424575
0 days 00:00:01.089293179,1.33639141925,5.78524672975,9.163314104,0.215558912595,0.608344972125,0.448832906775
0 days 00:00:01.109293179,3.3918261530000002,5.670989512999999,6.07537663,0.2646317134166667,0.5477166374666667,0.34966918083500004
0 days 00:00:01.129293179,3.7585262652499996,6.254838347250001,4.984847844,-0.6362920328999999,0.9525672643750001,-0.1365282796425
0 days 00:00:01.149293179,1.7994026740000002,5.2354960440000005,7.878767172833334,-1.286863029,1.0565669535,-0.18402301895000003
0 days 00:00:01.169293179,1.4572289869,4.3429729345000005,8.66201806075,-1.06878429675,0.8815542311,-0.03634645324
0 days 00:00:01.189293179,0.139381917175,3.3571301105,8.728418588250001,-0.9927316159999999,0.7722094505999999,0.26816964242
0 days 00:00:01.209293179,0.38524444405,3.4492539165,10.20419216,-0.7146863490666666,0.6718239883166666,0.5780308097833333
0 days 00:00:01.229293179,1.00438728955,4.6073798537499995,9.5766746995,-0.363235479225,0.5820777564999999,0.62033319475
0 days 00:00:01.249293179,0.7314061185000001,5.251846790333333,9.087142467333333,0.032910335799999996,0.2325104028,0.2811505087
0 days 00:00:01.269293179,-0.030508487952499996,5.047060966249999,9.573084831,0.47899436202499995,-0.231594115525,0.0175623619075
0 days 00:00:01.289293179,0.1513460390175,5.1152564289999995,8.560921191999999,0.776332765825,-0.354072503725,-0.024129158815
0 days 00:00:01.309293179,1.8723837734500002,5.6985070705,7.0121667384999995,0.45909032906999997,-0.3664425064833334,-0.08526654137833334
0 days 00:00:01.329293179,2.53998124625,5.9587267637500005,8.5680996175,-0.12744166608500002,-0.07490728055000001,-0.271071244025
0 days 00:00:01.349293179,1.0305089355000001,4.911268472500001,8.950353304333333,-0.56512628495,0.59444779155,-0.2542724684
0 days 00:00:01.369293179,0.6257231384499999,4.22811770475,9.08136034,-0.784732148075,0.70623604955,-0.08536835201000001
0 days 00:00:01.389293179,0.41934216022500004,4.289732814250001,8.758328676249999,-0.8117629439,0.6503419131,0.00885753846
0 days 00:00:01.409293179,0.1148554864375,4.235296011,8.778069496,-0.5974003027166667,0.43684467671666666,0.08272127216666668
0 days 00:00:01.429293179,-0.26321048873125,3.78065967575,9.04367303875,-0.2589303124425,0.234037578075,0.058337586930000004
0 days 00:00:01.449293179,-0.23290139931666667,3.7603208223333335,9.186445077333333,-0.0370336771,0.12530363725,0.055741412565
0 days 00:00:01.469293179,-0.12681960150625,4.0474594835,9.055038928750001,0.00526870874425,0.0875827390775,0.0902552735025
0 days 00:00:01.489293179,0.08614161355625,4.0193438530000005,9.068797588,-0.03596466471025,0.08834631927,0.134237540885
0 days 00:00:01.509293179,0.41635113954999997,4.17308259,9.108279705000001,-0.102396206945,0.189139007295,0.16702061641666666
0 days 00:00:01.529293179,0.7178467959,4.4865425825,9.3218386175,-0.0732274171725,0.21647521105,0.138360876575
0 days 00:00:01.549293179,0.8953144646833334,4.606981198,9.180861632166666,0.089109900405,0.05077813750500001,0.074983650815
0 days 00:00:01.569293179,0.467198625175,4.445266366,9.0957171915,0.145156741125,-0.0008399388774999999,0.074830933475
0 days 00:00:01.589293179,0.3684946969,4.2646082637500005,9.1298146245,0.07444914523,0.12133301468999999,0.1295033302225
0 days 00:00:01.609293179,0.21535404029999997,4.4039900305,8.860622406,-0.021660246573333337,0.2205985387,0.15449788666666667
0 days 00:00:01.629293179,0.144765775625,4.358526468000001,8.60578680075,-0.11217004433000001,0.295124046525,0.15745039655
0 days 00:00:01.649293179,0.3489533091333334,4.244069894333333,8.680761496333334,-0.12805252895,0.2025780305,0.16264274720000002
0 days 00:00:01.669293179,0.48215375842499997,4.23230516875,8.398807526,0.009086614472499997,0.016111558765,0.1256854292
0 days 00:00:01.689293179,0.5228317231249999,4.731806874,8.282755852000001,0.09537126495750001,-0.06711876625,0.0792597047975
0 days 00:00:01.709293179,0.4965106845,4.4410789015,8.837890148,0.134415706,-0.11211914195666667,0.07539089272166667
0 days 00:00:01.729293179,0.48993043599999997,4.552345037749999,9.048458576249999,0.179976038625,-0.131412288175,0.07498365268000001
0 days 00:00:01.749293179,0.5284149845333334,4.572684208333334,9.408977190666667,0.30505060405,-0.13889538125,0.06948586553000001
0 days 00:00:01.769293179,0.55573304,4.6899323465,9.6257276535,0.508010439575,-0.17936516925,0.060781044884999996
0 days 00:00:01.789293179,0.534197643375,4.66241490825,9.7064852715,0.6941714734000001,-0.2209039703,0.046425722537500005
0 days 00:00:01.809293179,0.44985064865,4.3645086285,9.713663578,0.9233475923833333,-0.33101235083333336,0.03873900727833334
0 days 00:00:01.829293179,0.439082950375,4.81854677175,9.331410169249999,1.13781204825,-0.46754062920000006,0.0332921301025
0 days 00:00:01.849293179,0.58105710645,5.0811590351666664,8.955138842166667,1.253418207,-0.48617200555,0.02855792921
0 days 00:00:01.869293179,0.4911268577,5.4412785765,8.551350117,1.33741211925,-0.498847447325,0.0013744459725000004
0 days 00:00:01.889293179,0.8093722612,5.7535420657500005,8.0703926085,1.4181989135,-0.5822305083000001,-0.058490302527499996
